"SPECIES: common name","European common frog"
"SPECIES: Latin  name","Rana temporaria"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 2A"
"RETINAL LOCATION of sampling field","all, right eye"
"NUMBER OF CELLS",1001
"AREA OF SAMPLED FIELD (sq mm)",62.36
"TOTAL RETINAL AREA (sq mm)",62.36
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","AOS-projecting RGCs, HRP-labelled from nBOR (see Methods)"
"X","Y"
 5786 , 14048 
 4376 , 13863 
 4163 , 13655 
 5991 , 13554 
 5434 , 13475 
 5214 , 13474 
 6567 , 13447 
 5653 , 13400 
 5177 , 13392 
 4135 , 13294 
 5027 , 13283 
 5590 , 13248 
 4692 , 13221 
 4965 , 13076 
 9335 , 12988 
 6439 , 12955 
 6794 , 12876 
 5567 , 12856 
 4616 , 12802 
 7452 , 12785 
 8493 , 12779 
 5620 , 12775 
 4273 , 12758 
 6324 , 12720 
 6694 , 12719 
 4832 , 12697 
 8037 , 12695 
 5455 , 12688 
 9197 , 12661 
 2565 , 12600 
 6081 , 12539 
 7740 , 12526 
 7990 , 12511 
 2193 , 12489 
 7346 , 12484 
 2377 , 12483 
 5524 , 12480 
 8467 , 12475 
 6514 , 12466 
 6175 , 12465 
 8302 , 12454 
 8742 , 12453 
 1536 , 12439 
 4256 , 12436 
 8036 , 12387 
 1803 , 12367 
 6849 , 12332 
 8204 , 12316 
 5979 , 12311 
 5246 , 12310 
 9211 , 12288 
 4638 , 12271 
 8356 , 12268 
 8247 , 12244 
 6909 , 12229 
 7202 , 12224 
 8130 , 12221 
 8687 , 12219 
 5416 , 12215 
 6803 , 12176 
 8396 , 12140 
 8233 , 12138 
 5730 , 12102 
 7859 , 12049 
 4074 , 12040 
 9276 , 12012 
 8922 , 12001 
 8195 , 11983 
 7994 , 11973 
 4830 , 11967 
 5196 , 11958 
 4269 , 11955 
 7489 , 11942 
 2993 , 11940 
 8810 , 11939 
 2803 , 11909 
 9315 , 11905 
 7792 , 11873 
 6022 , 11866 
 6737 , 11852 
 6878 , 11851 
 6332 , 11843 
 5207 , 11834 
 5841 , 11827 
 5411 , 11805 
 8590 , 11804 
 5813 , 11804 
 4043 , 11803 
 1373 , 11797 
 2494 , 11777 
 7889 , 11751 
 2106 , 11735 
 4905 , 11725 
 2931 , 11717 
 7248 , 11696 
 4883 , 11685 
 9029 , 11679 
 5532 , 11665 
 7349 , 11655 
 8293 , 11630 
 6258 , 11624 
 8706 , 11623 
 7904 , 11622 
 8140 , 11620 
 7677 , 11607 
 5294 , 11606 
 5615 , 11605 
 6888 , 11603 
 2274 , 11601 
 7522 , 11600 
 5476 , 11597 
 2695 , 11585 
 7175 , 11563 
 587 , 11545 
 4552 , 11544 
 6797 , 11543 
 6000 , 11531 
 8955 , 11512 
 8380 , 11482 
 8063 , 11478 
 2209 , 11464 
 1871 , 11464 
 9020 , 11462 
 8652 , 11456 
 8375 , 11437 
 8568 , 11435 
 2051 , 11430 
 4497 , 11429 
 6229 , 11429 
 4064 , 11417 
 5901 , 11414 
 5426 , 11407 
 5230 , 11401 
 8137 , 11398 
 7289 , 11373 
 7036 , 11337 
 6681 , 11321 
 7450 , 11313 
 5998 , 11307 
 7724 , 11305 
 4189 , 11283 
 1739 , 11277 
 3574 , 11272 
 7612 , 11258 
 2107 , 11254 
 5495 , 11243 
 8560 , 11241 
 4270 , 11235 
 5097 , 11233 
 6033 , 11227 
 6526 , 11218 
 4946 , 11183 
 2567 , 11167 
 3467 , 11162 
 2216 , 11160 
 5526 , 11158 
 2862 , 11156 
 5686 , 11156 
 4926 , 11143 
 5473 , 11143 
 6370 , 11142 
 8270 , 11140 
 2895 , 11139 
 7237 , 11133 
 6361 , 11130 
 6605 , 11124 
 4931 , 11103 
 6731 , 11102 
 5368 , 11100 
 4095 , 11095 
 7694 , 11095 
 7795 , 11091 
 2548 , 11089 
 4505 , 11070 
 6251 , 11068 
 7993 , 11063 
 3193 , 11056 
 5727 , 11039 
 8257 , 11021 
 5438 , 10993 
 4620 , 10986 
 4496 , 10952 
 5265 , 10939 
 5262 , 10920 
 7999 , 10903 
 7755 , 10898 
 1345 , 10893 
 3076 , 10855 
 7583 , 10848 
 1712 , 10841 
 4427 , 10828 
 6533 , 10823 
 4849 , 10808 
 3499 , 10806 
 6041 , 10797 
 7318 , 10787 
 1008 , 10786 
 7407 , 10777 
 6980 , 10772 
 7257 , 10766 
 7245 , 10756 
 3405 , 10755 
 6672 , 10729 
 735 , 10723 
 1469 , 10719 
 6154 , 10718 
 2419 , 10716 
 7262 , 10714 
 4513 , 10701 
 4132 , 10695 
 2194 , 10694 
 2696 , 10691 
 6885 , 10684 
 7046 , 10682 
 4991 , 10678 
 2930 , 10667 
 5612 , 10666 
 7712 , 10664 
 6221 , 10658 
 2699 , 10650 
 7508 , 10646 
 4317 , 10638 
 5701 , 10635 
 4805 , 10634 
 6020 , 10627 
 3675 , 10592 
 1174 , 10586 
 5075 , 10580 
 5505 , 10559 
 7554 , 10555 
 6704 , 10546 
 4207 , 10540 
 3039 , 10535 
 1993 , 10526 
 1675 , 10521 
 4785 , 10519 
 7681 , 10497 
 3380 , 10493 
 5802 , 10479 
 6072 , 10474 
 6884 , 10473 
 2787 , 10467 
 1446 , 10460 
 2389 , 10459 
 1958 , 10452 
 7464 , 10435 
 6033 , 10433 
 7283 , 10430 
 6751 , 10428 
 5207 , 10427 
 7118 , 10420 
 3231 , 10400 
 4957 , 10389 
 7470 , 10376 
 4359 , 10360 
 5329 , 10349 
 5932 , 10342 
 3099 , 10336 
 6824 , 10333 
 6157 , 10331 
 9620 , 10330 
 2950 , 10328 
 5611 , 10328 
 4552 , 10323 
 7216 , 10322 
 5812 , 10322 
 3669 , 10322 
 6603 , 10314 
 4156 , 10308 
 6123 , 10308 
 5335 , 10300 
 10865 , 10285 
 9872 , 10282 
 3259 , 10275 
 4273 , 10275 
 3764 , 10270 
 3303 , 10262 
 5922 , 10260 
 3465 , 10249 
 6447 , 10248 
 1622 , 10231 
 7330 , 10226 
 2471 , 10216 
 7191 , 10215 
 4762 , 10214 
 9129 , 10210 
 10092 , 10208 
 6246 , 10203 
 11149 , 10192 
 2193 , 10189 
 8642 , 10189 
 6359 , 10185 
 7245 , 10182 
 7136 , 10169 
 5742 , 10168 
 9713 , 10166 
 3815 , 10154 
 3666 , 10151 
 10597 , 10149 
 8809 , 10141 
 10421 , 10140 
 9996 , 10138 
 5417 , 10136 
 4223 , 10131 
 9949 , 10125 
 8402 , 10125 
 8826 , 10123 
 8225 , 10121 
 3096 , 10096 
 4756 , 10088 
