"SPECIES: common name","Red-eared slider turtle"
"SPECIES: Latin  name","Pseudemys scripta elegans"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","visual streak"
"NUMBER OF CELLS",803
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the original cell plots for Fig 6C of Zhang and Eldred (1994) Neurosci 61: 707-718"
"X","Y"
 3408 , 5261 
 3286 , 5247 
 3086 , 5244 
 2452 , 5241 
 3757 , 5239 
 3538 , 5237 
 3195 , 5236 
 3268 , 5235 
 2835 , 5231 
 3725 , 5226 
 3734 , 5217 
 2924 , 5215 
 2825 , 5212 
 2754 , 5209 
 1195 , 5207 
 4145 , 5205 
 1662 , 5203 
 3910 , 5201 
 2931 , 5199 
 2435 , 5195 
 3353 , 5194 
 1080 , 5192 
 2593 , 5189 
 4246 , 5180 
 4045 , 5177 
 977 , 5175 
 1173 , 5172 
 1416 , 5170 
 3492 , 5165 
 4373 , 5164 
 4419 , 5160 
 3596 , 5160 
 2654 , 5159 
 1575 , 5158 
 4280 , 5155 
 2432 , 5154 
 1345 , 5150 
 2990 , 5150 
 3760 , 5150 
 4069 , 5149 
 2704 , 5146 
 3152 , 5144 
 1001 , 5142 
 4371 , 5137 
 1417 , 5137 
 3008 , 5136 
 1305 , 5136 
 3508 , 5135 
 1151 , 5135 
 3249 , 5135 
 3548 , 5132 
 2267 , 5130 
 2892 , 5126 
 3350 , 5125 
 714 , 5122 
 4243 , 5120 
 2796 , 5119 
 3038 , 5113 
 2737 , 5113 
 3095 , 5111 
 2813 , 5109 
 4277 , 5106 
 1451 , 5106 
 1547 , 5103 
 4454 , 5103 
 4039 , 5103 
 2124 , 5102 
 3984 , 5098 
 3830 , 5097 
 3252 , 5097 
 2532 , 5097 
 2216 , 5094 
 1661 , 5093 
 3028 , 5090 
 710 , 5086 
 4161 , 5084 
 2802 , 5082 
 2889 , 5081 
 2243 , 5081 
 1359 , 5080 
 4206 , 5079 
 4406 , 5077 
 3207 , 5077 
 2570 , 5076 
 1123 , 5073 
 1201 , 5071 
 518 , 5071 
 2492 , 5071 
 1434 , 5069 
 3531 , 5069 
 1246 , 5069 
 1720 , 5062 
 2381 , 5058 
 2508 , 5058 
 2645 , 5057 
 1099 , 5056 
 2574 , 5054 
 663 , 5050 
 2036 , 5046 
 531 , 5044 
 3609 , 5044 
 2637 , 5043 
 3925 , 5043 
 4050 , 5043 
 2287 , 5041 
 3722 , 5041 
 1499 , 5038 
 902 , 5036 
 3261 , 5034 
 3673 , 5033 
 3756 , 5033 
 3384 , 5031 
 3474 , 5030 
 2193 , 5029 
 1169 , 5029 
 2501 , 5027 
 1464 , 5027 
 3517 , 5026 
 1586 , 5026 
 230 , 5022 
 2163 , 5020 
 3847 , 5016 
 4424 , 5013 
 1898 , 5012 
 1440 , 5012 
 1365 , 5010 
 4368 , 5009 
 3067 , 5009 
 2701 , 5009 
 4294 , 5008 
 1338 , 5007 
 1103 , 5006 
 3199 , 5005 
 328 , 5005 
 1796 , 5004 
 2327 , 5003 
 278 , 5000 
 3900 , 4999 
 4192 , 4998 
 3142 , 4994 
 1971 , 4991 
 3563 , 4988 
 1098 , 4987 
 1681 , 4983 
 3694 , 4981 
 1260 , 4977 
 2443 , 4977 
 4245 , 4975 
 4296 , 4972 
 4250 , 4969 
 2650 , 4968 
 3244 , 4967 
 3642 , 4967 
 1918 , 4966 
 4084 , 4964 
 1318 , 4963 
 2802 , 4963 
 4444 , 4962 
 2433 , 4962 
 3919 , 4960 
 2618 , 4959 
 2545 , 4959 
 4161 , 4958 
 979 , 4957 
 3155 , 4955 
 2904 , 4950 
 418 , 4948 
 106 , 4945 
 3706 , 4945 
 776 , 4944 
 572 , 4944 
 3855 , 4943 
 3317 , 4943 
 2967 , 4941 
 2713 , 4934 
 2811 , 4934 
 3523 , 4932 
 3143 , 4931 
 3970 , 4929 
 948 , 4927 
 4332 , 4926 
 1695 , 4925 
 1114 , 4923 
 2892 , 4923 
 3124 , 4922 
 3611 , 4921 
 4277 , 4918 
 3202 , 4916 
 772 , 4916 
 82 , 4913 
 1745 , 4911 
 911 , 4910 
 2326 , 4910 
 2610 , 4907 
 1194 , 4904 
 3573 , 4904 
 1329 , 4902 
 1689 , 4900 
 3981 , 4896 
 3879 , 4896 
 4181 , 4895 
 1940 , 4890 
 3367 , 4890 
 1183 , 4888 
 3801 , 4888 
 4014 , 4886 
 4046 , 4884 
 218 , 4884 
 452 , 4884 
 2210 , 4883 
 1099 , 4883 
 2558 , 4882 
 733 , 4881 
 1562 , 4880 
 341 , 4880 
 3456 , 4880 
 3700 , 4879 
 2060 , 4879 
 3000 , 4878 
 2033 , 4878 
 3025 , 4877 
 3413 , 4877 
 3833 , 4876 
 3136 , 4875 
 2266 , 4875 
 2674 , 4875 
 1970 , 4873 
 1767 , 4873 
 2787 , 4873 
 1533 , 4872 
 2413 , 4871 
 3623 , 4871 
 1326 , 4870 
 2854 , 4868 
 581 , 4868 
 3105 , 4866 
 3192 , 4866 
 1895 , 4863 
 3392 , 4862 
 1452 , 4862 
 3264 , 4861 
 1794 , 4860 
 1055 , 4859 
 973 , 4858 
 1379 , 4857 
 2662 , 4856 
 4285 , 4853 
 2062 , 4850 
 2721 , 4848 
 594 , 4847 
 4414 , 4841 
 4376 , 4840 
 3556 , 4837 
 3700 , 4837 
 2513 , 4836 
 1693 , 4835 
 133 , 4835 
 3165 , 4832 
 1581 , 4831 
 3801 , 4828 
 744 , 4827 
 3867 , 4827 
 699 , 4826 
 2142 , 4825 
 851 , 4824 
 2759 , 4824 
 2458 , 4824 
 1612 , 4824 
 4146 , 4821 
 3101 , 4820 
 2245 , 4820 
 3017 , 4819 
 1455 , 4819 
 2200 , 4818 
 2356 , 4817 
 796 , 4816 
 3465 , 4815 
 1155 , 4814 
 3269 , 4814 
 3940 , 4814 
 2951 , 4813 
 956 , 4813 
 1578 , 4812 
 1339 , 4812 
 1863 , 4810 
 2714 , 4810 
 488 , 4809 
 4405 , 4807 
 2532 , 4807 
 1754 , 4806 
 2447 , 4806 
 1071 , 4805 
 142 , 4805 
 309 , 4805 
 2192 , 4803 
 1426 , 4802 
 2916 , 4801 
 1919 , 4798 
 3651 , 4794 
 2030 , 4793 
 3051 , 4789 
 2635 , 4788 
 3104 , 4788 
 3511 , 4788 
 1379 , 4784 
 1685 , 4783 
 3407 , 4783 
 265 , 4783 
 2340 , 4782 
 2499 , 4780 
 1990 , 4779 
 3348 , 4777 
 3971 , 4777 
 3742 , 4776 
 1078 , 4776 
 3288 , 4775 
 3033 , 4774 
 1530 , 4774 
 3859 , 4774 
 1706 , 4772 
 2813 , 4771 
 358 , 4770 
 2976 , 4770 
 1664 , 4770 
 2263 , 4769 
 2079 , 4768 
 1171 , 4768 
 2696 , 4766 
 1890 , 4765 
 1270 , 4764 
 2416 , 4763 
 648 , 4763 
 2755 , 4763 
 1657 , 4760 
 1817 , 4760 
 1297 , 4760 
 2489 , 4759 
 852 , 4759 
 1566 , 4759 
 1522 , 4758 
 4317 , 4756 
 4046 , 4755 
 2006 , 4754 
 3680 , 4752 
 885 , 4747 
 2239 , 4745 
 4353 , 4744 
 1566 , 4743 
 4156 , 4739 
 2160 , 4738 
 2081 , 4737 
 3843 , 4737 
 1956 , 4734 
 4116 , 4734 
 3295 , 4733 
 1425 , 4732 
 223 , 4732 
 3526 , 4731 
 536 , 4729 
 157 , 4729 
 2538 , 4729 
 1141 , 4729 
 1820 , 4729 
 2441 , 4729 
 1235 , 4728 
 3931 , 4724 
 3232 , 4723 
 2901 , 4722 
 118 , 4721 
 2116 , 4719 
 1301 , 4719 
 1636 , 4718 
 931 , 4718 
 469 , 4718 
 3824 , 4718 
 2262 , 4717 
 4200 , 4717 
 1770 , 4717 
 1080 , 4717 
 2384 , 4716 
 3763 , 4716 
 1749 , 4713 
 1727 , 4713 
 3992 , 4711 
 3446 , 4711 
 2067 , 4711 
 425 , 4710 
 536 , 4708 
 3158 , 4706 
 2304 , 4706 
 1101 , 4703 
 2567 , 4701 
 2725 , 4701 
 1450 , 4699 
 1035 , 4698 
 1991 , 4697 
 3035 , 4696 
