"SPECIES: common name","Albino rat"
"SPECIES: Latin  name","Rattus norvegicus"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs, MTN-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-29"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","all"
"NUMBER OF CELLS",1674
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the published Fig 4B of Dann and Buhl (1987) J Comp Neurol 262: 141-158"
"X","Y"
 2021 , 7448 
 1934 , 7412 
 3181 , 7406 
 2020 , 7397 
 3241 , 7373 
 1933 , 7366 
 3266 , 7347 
 1813 , 7326 
 3398 , 7304 
 1803 , 7304 
 1731 , 7290 
 1651 , 7288 
 2252 , 7285 
 1913 , 7280 
 2367 , 7279 
 3268 , 7268 
 1629 , 7251 
 2117 , 7251 
 2185 , 7242 
 3360 , 7240 
 2265 , 7234 
 1682 , 7228 
 2364 , 7221 
 2230 , 7219 
 2063 , 7217 
 2365 , 7204 
 2248 , 7192 
 1543 , 7182 
 2424 , 7177 
 1748 , 7167 
 2136 , 7166 
 1711 , 7164 
 2360 , 7163 
 1492 , 7151 
 1517 , 7149 
 3617 , 7146 
 2181 , 7146 
 2335 , 7145 
 1653 , 7137 
 3275 , 7134 
 1673 , 7132 
 3356 , 7120 
 1348 , 7119 
 3463 , 7117 
 1377 , 7116 
 3330 , 7112 
 1303 , 7110 
 2326 , 7100 
 3585 , 7100 
 3479 , 7097 
 1317 , 7090 
 1681 , 7078 
 1647 , 7072 
 2003 , 7071 
 1322 , 7067 
 1919 , 7067 
 1479 , 7067 
 1516 , 7064 
 3758 , 7062 
 1181 , 7062 
 3186 , 7056 
 2075 , 7055 
 3051 , 7042 
 1745 , 7039 
 3149 , 7039 
 2048 , 7036 
 1078 , 7033 
 3016 , 7032 
 1868 , 7031 
 2463 , 7028 
 1133 , 7023 
 2059 , 7021 
 3096 , 7017 
 3251 , 7015 
 2184 , 7014 
 1648 , 7003 
 1352 , 6988 
 1418 , 6986 
 1230 , 6983 
 1077 , 6979 
 3493 , 6971 
 1061 , 6966 
 1760 , 6964 
 949 , 6962 
 3765 , 6960 
 3977 , 6957 
 1938 , 6956 
 1637 , 6953 
 1509 , 6951 
 992 , 6949 
 1834 , 6947 
 2375 , 6947 
 2196 , 6945 
 3660 , 6931 
 3029 , 6929 
 2261 , 6928 
 2106 , 6925 
 1443 , 6924 
 3829 , 6918 
 1210 , 6914 
 1298 , 6901 
 2396 , 6900 
 2174 , 6896 
 1572 , 6895 
 3337 , 6892 
 3966 , 6892 
 906 , 6880 
 1465 , 6879 
 986 , 6878 
 1577 , 6870 
 1771 , 6869 
 3817 , 6867 
 3169 , 6860 
 4057 , 6859 
 2066 , 6858 
 1714 , 6856 
 1660 , 6847 
 1051 , 6846 
 2501 , 6845 
 1639 , 6845 
 2354 , 6845 
 1900 , 6844 
 3026 , 6839 
 3414 , 6838 
 1869 , 6834 
 3053 , 6834 
 1989 , 6833 
 1398 , 6832 
 1544 , 6826 
 3338 , 6804 
 3914 , 6804 
 1264 , 6802 
 4205 , 6796 
 1365 , 6796 
 792 , 6791 
 2118 , 6790 
 906 , 6784 
 3711 , 6784 
 3220 , 6778 
 1644 , 6771 
 2490 , 6771 
 2957 , 6766 
 3773 , 6763 
 2248 , 6759 
 1970 , 6755 
 4643 , 6754 
 1244 , 6749 
 1744 , 6744 
 4692 , 6743 
 1901 , 6743 
 4378 , 6739 
 3208 , 6738 
 2076 , 6738 
 4097 , 6738 
 2507 , 6736 
 4534 , 6735 
 1117 , 6733 
 3255 , 6732 
 844 , 6731 
 1018 , 6728 
 3984 , 6727 
 1844 , 6724 
 755 , 6724 
 1731 , 6721 
 4324 , 6721 
 931 , 6719 
 1459 , 6719 
 3075 , 6717 
 1196 , 6716 
 3100 , 6713 
 4627 , 6707 
 1934 , 6707 
 2133 , 6692 
 1324 , 6691 
 2520 , 6689 
 1627 , 6689 
 4685 , 6689 
 3125 , 6688 
 2942 , 6687 
 726 , 6681 
 2108 , 6680 
 809 , 6680 
 4518 , 6675 
 3560 , 6673 
 3018 , 6672 
 889 , 6668 
 3852 , 6668 
 1370 , 6662 
 4045 , 6659 
 3909 , 6659 
 790 , 6651 
 1509 , 6649 
 2982 , 6646 
 2372 , 6645 
 3520 , 6644 
 3321 , 6636 
 3714 , 6635 
 1451 , 6631 
 1127 , 6623 
 3594 , 6622 
 4183 , 6622 
 1896 , 6621 
 2242 , 6619 
 2445 , 6619 
 2227 , 6618 
 4375 , 6612 
 990 , 6602 
 2909 , 6600 
 3451 , 6596 
 4750 , 6592 
 1190 , 6590 
 4160 , 6588 
 3672 , 6586 
 3431 , 6585 
 2472 , 6585 
 1603 , 6583 
 3827 , 6580 
 2240 , 6579 
 3037 , 6575 
 1990 , 6571 
 2502 , 6569 
 2301 , 6564 
 4553 , 6558 
 4222 , 6557 
 3231 , 6554 
 3328 , 6552 
 3391 , 6550 
 1243 , 6547 
 1091 , 6546 
 4415 , 6542 
 3091 , 6539 
 4112 , 6531 
 912 , 6530 
 4511 , 6529 
 1670 , 6528 
 4021 , 6525 
 4832 , 6520 
 1387 , 6505 
 2560 , 6500 
 1868 , 6499 
 924 , 6495 
 2999 , 6495 
 4424 , 6492 
 4832 , 6490 
 3868 , 6489 
 1136 , 6481 
 4348 , 6478 
 2121 , 6478 
 3776 , 6478 
 3560 , 6476 
 3639 , 6474 
 4299 , 6474 
 1738 , 6473 
 3508 , 6472 
 3731 , 6472 
 4181 , 6471 
 1230 , 6470 
 814 , 6468 
 4559 , 6466 
 1855 , 6460 
 2931 , 6458 
 3839 , 6451 
 1541 , 6446 
 2880 , 6444 
 2844 , 6431 
 3607 , 6427 
 1639 , 6426 
 3428 , 6417 
 3146 , 6412 
 3816 , 6411 
 643 , 6403 
 992 , 6399 
 4287 , 6398 
 3013 , 6397 
 735 , 6395 
 1763 , 6388 
 3268 , 6378 
 4696 , 6375 
 4421 , 6372 
 2219 , 6370 
 3852 , 6369 
 1196 , 6368 
 1966 , 6367 
 4856 , 6366 
 4057 , 6362 
 1574 , 6361 
 574 , 6360 
 1226 , 6359 
 3330 , 6358 
 1445 , 6356 
 957 , 6355 
 4817 , 6355 
 1671 , 6350 
 3401 , 6349 
 2132 , 6349 
 2309 , 6345 
 1314 , 6344 
 3265 , 6344 
 1301 , 6344 
 785 , 6343 
 1394 , 6342 
 1025 , 6341 
 2254 , 6339 
 2403 , 6339 
 4552 , 6338 
 1129 , 6338 
 2098 , 6337 
 3076 , 6331 
 2331 , 6330 
 779 , 6327 
 4073 , 6323 
 3966 , 6322 
 2270 , 6319 
 1876 , 6316 
 864 , 6315 
 1295 , 6312 
 4369 , 6311 
 1820 , 6310 
 3657 , 6307 
 1703 , 6304 
 1995 , 6298 
 3027 , 6296 
 1395 , 6295 
 851 , 6292 
 3832 , 6292 
 2505 , 6291 
 3176 , 6291 
 1228 , 6287 
 1583 , 6285 
 3594 , 6285 
 4743 , 6284 
 4491 , 6283 
 3504 , 6279 
 792 , 6279 
 3397 , 6273 
 4772 , 6270 
 4197 , 6268 
 2778 , 6266 
 1974 , 6265 
 1631 , 6262 
 2699 , 6259 
 2187 , 6259 
 1694 , 6257 
 4070 , 6257 
 837 , 6257 
 613 , 6256 
 4652 , 6253 
 3228 , 6251 
 1441 , 6244 
 4566 , 6243 
 428 , 6241 
 2620 , 6238 
 3085 , 6234 
 818 , 6233 
 941 , 6232 
 1034 , 6230 
 2796 , 6229 
 2364 , 6229 
 3961 , 6229 
 2884 , 6228 
 2389 , 6227 
 411 , 6226 
 647 , 6223 
 4858 , 6222 
 4388 , 6221 
 1170 , 6216 
 3839 , 6209 
 1617 , 6207 
 3506 , 6206 
 2497 , 6191 
 1672 , 6190 
 3886 , 6189 
 2626 , 6189 
 1187 , 6187 
 1799 , 6186 
 1025 , 6185 
 3142 , 6184 
 3382 , 6184 
 3295 , 6184 
 4881 , 6180 
 2962 , 6178 
 1910 , 6177 
 1795 , 6176 
 3662 , 6174 
 4153 , 6172 
 1146 , 6171 
 1213 , 6170 
 4735 , 6170 
 1271 , 6170 
 1435 , 6167 
 1871 , 6164 
 4009 , 6161 
 4297 , 6155 
 1716 , 6155 
 1060 , 6154 
 4590 , 6149 
 1341 , 6148 
 2694 , 6145 
 4205 , 6144 
 1393 , 6138 
 457 , 6136 
 1774 , 6135 
 685 , 6133 
 2161 , 6132 
 2140 , 6127 
 1828 , 6127 
 510 , 6126 
 1466 , 6124 
 1448 , 6124 
 593 , 6124 
 1417 , 6123 
 1378 , 6121 
 2763 , 6115 
 3777 , 6113 
 1748 , 6109 
 1683 , 6109 
 3206 , 6106 
 1051 , 6104 
 4339 , 6100 
 1398 , 6100 
 1812 , 6098 
 409 , 6097 
 4755 , 6095 
 2650 , 6089 
 2960 , 6089 
 2060 , 6088 
 807 , 6087 
 2370 , 6086 
 3244 , 6086 
 955 , 6084 
 1223 , 6081 
 1473 , 6080 
 1316 , 6079 
 647 , 6078 
 993 , 6077 
 4218 , 6076 
 3596 , 6072 
 1239 , 6069 
 4686 , 6066 
 4581 , 6058 
 444 , 6055 
 1643 , 6054 
 2109 , 6054 
 1315 , 6053 
 3204 , 6050 
 2154 , 6047 
 2817 , 6042 
 3039 , 6040 
 4380 , 6040 
 5111 , 6039 
 4465 , 6039 
 1300 , 6038 
 1984 , 6037 
 4506 , 6036 
 3570 , 6033 
 4403 , 6032 
 1380 , 6030 
 3319 , 6019 
 2053 , 6016 
 2666 , 6016 
 2498 , 6015 
 1158 , 6015 
 1269 , 6014 
 1219 , 6013 
 2575 , 6013 
 847 , 6012 
 321 , 6009 
 1391 , 6008 
 2901 , 6007 
 3584 , 6000 
 3702 , 5999 
 1876 , 5998 
 4223 , 5996 
 380 , 5995 
 1355 , 5991 
 2395 , 5989 
 4837 , 5985 
 3912 , 5984 
 4396 , 5982 
 479 , 5974 
 3943 , 5969 
 680 , 5968 
 2235 , 5968 
 5026 , 5966 
 612 , 5965 
 1081 , 5963 
 4713 , 5961 
 1747 , 5961 
 1970 , 5959 
 2318 , 5958 
 1167 , 5953 
 490 , 5951 
 371 , 5949 
 3242 , 5946 
 2417 , 5942 
 3398 , 5937 
 2739 , 5935 
 452 , 5931 
 557 , 5931 
 5223 , 5931 
 3004 , 5931 
 4854 , 5930 
 4023 , 5928 
 1007 , 5927 
 4482 , 5925 
 1895 , 5923 
 612 , 5922 
 3718 , 5921 
 2334 , 5916 
 361 , 5915 
 3835 , 5911 
 4030 , 5910 
 4937 , 5907 
 1353 , 5905 
 2055 , 5904 
 4105 , 5900 
 494 , 5895 
 1610 , 5894 
 2811 , 5894 
 5168 , 5893 
 1684 , 5892 
 1837 , 5885 
 3262 , 5883 
 3182 , 5882 
 1723 , 5881 
 1140 , 5874 
 1765 , 5873 
 1166 , 5867 
 3052 , 5861 
 1455 , 5861 
 1007 , 5860 
 3018 , 5855 
 575 , 5853 
 3793 , 5852 
 3504 , 5850 
 4569 , 5848 
 4329 , 5847 
 3143 , 5847 
 493 , 5844 
 1097 , 5843 
 630 , 5842 
 994 , 5841 
 2813 , 5839 
 1254 , 5838 
 2298 , 5837 
 4265 , 5837 
 2734 , 5836 
 4988 , 5832 
 679 , 5831 
 4520 , 5827 
 1114 , 5826 
 2554 , 5826 
 1564 , 5824 
 981 , 5822 
 4176 , 5821 
 2941 , 5821 
 4372 , 5820 
 3875 , 5819 
 514 , 5817 
 809 , 5817 
 1366 , 5816 
 1049 , 5816 
 2636 , 5809 
 2817 , 5808 
 776 , 5807 
 1945 , 5807 
 1339 , 5807 
 887 , 5804 
 338 , 5803 
 2467 , 5802 
 630 , 5795 
 3712 , 5792 
 1291 , 5785 
 209 , 5783 
 3368 , 5781 
 317 , 5779 
 2612 , 5778 
 5046 , 5777 
 1765 , 5776 
 4474 , 5773 
 5274 , 5770 
 992 , 5769 
 427 , 5768 
 653 , 5764 
 4108 , 5762 
 2557 , 5761 
 3278 , 5760 
 1756 , 5759 
 2909 , 5758 
 370 , 5757 
 2046 , 5754 
 1006 , 5750 
 211 , 5749 
 4131 , 5747 
 1112 , 5745 
 2713 , 5744 
 2841 , 5739 
 4897 , 5736 
 847 , 5736 
 3664 , 5728 
 1426 , 5728 
 2237 , 5726 
 473 , 5722 
 2479 , 5722 
 1107 , 5720 
 3583 , 5719 
 2126 , 5716 
 2300 , 5713 
 697 , 5710 
 310 , 5704 
 2054 , 5704 
 3328 , 5702 
 267 , 5696 
 3691 , 5692 
 4347 , 5689 
 3285 , 5686 
 2141 , 5685 
 3241 , 5684 
 4196 , 5684 
 2231 , 5676 
 2513 , 5670 
 1577 , 5668 
 1305 , 5667 
 1874 , 5663 
 3795 , 5662 
 4034 , 5660 
 2397 , 5656 
 3977 , 5655 
 4930 , 5654 
 2032 , 5652 
 1031 , 5648 
 1487 , 5647 
 812 , 5647 
 757 , 5645 
 4718 , 5644 
 1207 , 5641 
 2625 , 5639 
 4999 , 5637 
 1320 , 5635 
 4418 , 5630 
 4694 , 5628 
 255 , 5625 
 3881 , 5622 
 3068 , 5622 
 296 , 5621 
 2811 , 5619 
 3282 , 5618 
 4013 , 5617 
 1380 , 5616 
 4584 , 5616 
 3484 , 5612 
 3616 , 5611 
 690 , 5608 
 3947 , 5606 
 332 , 5606 
 3200 , 5605 
 919 , 5603 
 3383 , 5601 
 2068 , 5598 
 471 , 5595 
 4434 , 5595 
 1723 , 5593 
 2384 , 5592 
 4212 , 5591 
 535 , 5590 
 1830 , 5588 
 1666 , 5587 
 4123 , 5586 
 3452 , 5581 
 2658 , 5579 
 1381 , 5574 
 4071 , 5571 
 1064 , 5570 
 2443 , 5569 
 942 , 5567 
 367 , 5567 
 624 , 5567 
 2155 , 5567 
 2741 , 5559 
 544 , 5559 
 815 , 5558 
 2978 , 5554 
 1223 , 5554 
 4292 , 5548 
 2643 , 5547 
 846 , 5543 
 1011 , 5543 
 2880 , 5537 
 2336 , 5536 
 1581 , 5535 
 2458 , 5532 
 2209 , 5531 
 3545 , 5531 
 2867 , 5527 
 332 , 5524 
 3635 , 5524 
 1959 , 5523 
 3061 , 5518 
 4043 , 5518 
 4570 , 5517 
 4247 , 5512 
 1064 , 5512 
 186 , 5512 
 2356 , 5511 
 799 , 5507 
 3446 , 5506 
 640 , 5502 
 2209 , 5501 
 3164 , 5499 
 4569 , 5495 
 480 , 5494 
 3648 , 5491 
 903 , 5491 
 1627 , 5489 
 1517 , 5489 
 610 , 5486 
 1696 , 5486 
 1905 , 5483 
 2466 , 5482 
 3317 , 5482 
 2563 , 5480 
 1771 , 5479 
 345 , 5477 
 1447 , 5474 
 1049 , 5471 
 3189 , 5469 
 1194 , 5469 
 3965 , 5466 
 1463 , 5464 
 3067 , 5463 
 4398 , 5463 
 516 , 5459 
 1855 , 5459 
 1376 , 5451 
 1355 , 5450 
 1925 , 5448 
 497 , 5448 
 1785 , 5444 
 4265 , 5441 
 3362 , 5439 
 1478 , 5438 
 3525 , 5435 
 563 , 5421 
 4161 , 5405 
 1069 , 5405 
 2230 , 5403 
 638 , 5402 
 1906 , 5402 
 3049 , 5387 
 2395 , 5380 
 2318 , 5379 
 3219 , 5377 
 3343 , 5376 
 2612 , 5373 
 3528 , 5367 
 1205 , 5367 
