"SPECIES: common name","Tilapia, cichlid"
"SPECIES: Latin  name","Oreochromis spilurus"
"RETINAL CELL TYPE NAME: as published","outer alpha (alpha-a) RGCs"
"OTHER MOSAICS in same sampling field","inner alpha; biplexiform"
"PRIMARY CITATION for these mosaics","Cook and Becker (1991) J Comp Neurol 306: 668-684"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 1"
"RETINAL LOCATION of sampling field","all"
"NUMBER OF CELLS",260
"AREA OF SAMPLED FIELD (sq mm)",10.21
"TOTAL RETINAL AREA (sq mm)",10.21
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Fish of standard length 17 mm, right eye HRP-labelled from optic nerve"
"X","Y"
 2467 , 6856 
 2774 , 6751 
 3179 , 6608 
 2449 , 6607 
 2658 , 6532 
 4047 , 6495 
 2936 , 6486 
 3866 , 6478 
 3422 , 6432 
 3681 , 6431 
 3150 , 6402 
 1199 , 6399 
 2537 , 6393 
 2789 , 6342 
 1758 , 6315 
 3908 , 6276 
 3140 , 6254 
 911 , 6253 
 2259 , 6250 
 3404 , 6246 
 3673 , 6231 
 4032 , 6220 
 1187 , 6160 
 1442 , 6156 
 2653 , 6147 
 792 , 6103 
 2920 , 6082 
 3615 , 6080 
 2374 , 6051 
 3855 , 6042 
 3331 , 6022 
 1051 , 5990 
 4036 , 5987 
 1241 , 5986 
 1656 , 5965 
 2706 , 5942 
 3139 , 5915 
 3650 , 5914 
 1971 , 5912 
 538 , 5910 
 1451 , 5902 
 777 , 5858 
 3403 , 5854 
 2395 , 5850 
 3976 , 5815 
 3033 , 5745 
 3277 , 5723 
 2643 , 5722 
 3761 , 5722 
 899 , 5720 
 1573 , 5719 
 1170 , 5719 
 695 , 5706 
 3489 , 5659 
 2228 , 5656 
 455 , 5630 
 1752 , 5624 
 2893 , 5613 
 1925 , 5589 
 1050 , 5556 
 3162 , 5549 
 2701 , 5536 
 1221 , 5526 
 2473 , 5523 
 1459 , 5487 
 3351 , 5487 
 2161 , 5482 
 566 , 5455 
 2974 , 5448 
 1636 , 5425 
 950 , 5425 
 318 , 5385 
 2477 , 5352 
 3164 , 5345 
 3498 , 5343 
 698 , 5342 
 2884 , 5339 
 1831 , 5339 
 1124 , 5307 
 505 , 5297 
 2046 , 5296 
 3286 , 5277 
 2196 , 5271 
 1331 , 5256 
 1625 , 5208 
 593 , 5195 
 2766 , 5173 
 2549 , 5149 
 3126 , 5148 
 1831 , 5147 
 1418 , 5136 
 2104 , 5115 
 2957 , 5094 
 821 , 5093 
 1069 , 5087 
 2294 , 5085 
 1630 , 5066 
 4181 , 5048 
 3092 , 5014 
 3493 , 4998 
 1820 , 4987 
 3857 , 4982 
 2546 , 4975 
 2023 , 4966 
 2826 , 4963 
 3354 , 4941 
 4383 , 4930 
 4005 , 4915 
 925 , 4914 
 2375 , 4913 
 1371 , 4904 
 1060 , 4873 
 2153 , 4849 
 3135 , 4849 
 1540 , 4841 
 2748 , 4835 
 2979 , 4826 
 4660 , 4822 
 1679 , 4806 
 3658 , 4801 
 4434 , 4781 
 2506 , 4769 
 4250 , 4768 
 4832 , 4760 
 3242 , 4726 
 1945 , 4712 
 2170 , 4698 
 3830 , 4693 
 1504 , 4672 
 2267 , 4660 
 3424 , 4658 
 2825 , 4656 
 4859 , 4648 
 4019 , 4641 
 4606 , 4641 
 2535 , 4617 
 1632 , 4605 
