"SPECIES: common name","Goldfish"
"SPECIES: Latin  name","Carassius auratus"
"RETINAL CELL TYPE NAME: as published","outer alpha (alpha-a)"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook, Becker and Kapila (1992) J Comp Neurol 318: 355-366"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","all quadrants"
"NUMBER OF CELLS",280
"AREA OF SAMPLED FIELD (sq mm)",29.31
"TOTAL RETINAL AREA (sq mm)",32.61
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Sampled field included 301 cells but 21 on a lost sheet had to be omitted from the IBM PC replotting"
"X","Y"
 6757 , 9758 
 6459 , 9590 
 6178 , 9422 
 7055 , 9343 
 2874 , 9311 
 6233 , 9213 
 5969 , 9203 
 3591 , 9160 
 6623 , 9154 
 7438 , 9085 
 7023 , 9064 
 5725 , 8970 
 6110 , 8968 
 3936 , 8943 
 2770 , 8935 
 6350 , 8832 
 3188 , 8805 
 7068 , 8753 
 2851 , 8733 
 5496 , 8715 
 3434 , 8711 
 7333 , 8697 
 4557 , 8696 
 5634 , 8679 
 3902 , 8636 
 7544 , 8631 
 6745 , 8626 
 7873 , 8541 
 4197 , 8518 
 7706 , 8490 
 6327 , 8474 
 5329 , 8470 
 3475 , 8432 
 4004 , 8380 
 4993 , 8368 
 2242 , 8347 
 4521 , 8339 
 2806 , 8332 
 2423 , 8309 
 6190 , 8274 
 6766 , 8234 
 4415 , 8229 
 5233 , 8220 
 7670 , 8205 
 7210 , 8166 
 2462 , 8095 
 2908 , 8080 
 4880 , 8080 
 3383 , 8057 
 3751 , 8019 
 2027 , 7985 
 7590 , 7982 
 8049 , 7976 
 5091 , 7973 
 4198 , 7962 
 6737 , 7936 
 2558 , 7879 
 4454 , 7865 
 7017 , 7851 
 6525 , 7837 
 5343 , 7804 
 7879 , 7796 
 1752 , 7782 
 3023 , 7761 
 4880 , 7701 
 4193 , 7687 
 7731 , 7685 
