"SPECIES: common name","South African clawed frog"
"SPECIES: Latin  name","Xenopus laevis"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Cook (1997) Vis Neurosci 14:811-826"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7B"
"RETINAL LOCATION of sampling field","right eye, almost complete"
"NUMBER OF CELLS",460
"AREA OF SAMPLED FIELD (sq mm)",16.15
"TOTAL RETINAL AREA (sq mm)",17.0
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND/DRP analysis data"
"X","Y"
 4614 , 9602 
 3862 , 9574 
 4386 , 9540 
 3987 , 9512 
 3905 , 9395 
 4319 , 9386 
 4607 , 9382 
 3537 , 9381 
 4161 , 9377 
 3198 , 9311 
 3610 , 9295 
 4422 , 9283 
 4615 , 9224 
 3727 , 9213 
 5882 , 9186 
 3428 , 9177 
 2850 , 9174 
 5748 , 9158 
 4354 , 9130 
 2312 , 9120 
 3177 , 9111 
 3515 , 9074 
 3770 , 9059 
 6031 , 9058 
 2375 , 9029 
 5796 , 9029 
 5579 , 9019 
 2931 , 9000 
 4114 , 8987 
 6216 , 8955 
 5940 , 8950 
 3398 , 8938 
 2579 , 8937 
 3779 , 8900 
 4608 , 8885 
 4460 , 8884 
 5435 , 8883 
 5815 , 8863 
 2359 , 8861 
 3941 , 8849 
 5596 , 8825 
 4118 , 8815 
 6108 , 8808 
 3496 , 8794 
 4249 , 8778 
 5317 , 8759 
 6307 , 8756 
 4515 , 8732 
 5744 , 8717 
 2783 , 8695 
 2976 , 8692 
 2421 , 8678 
 3279 , 8673 
 3819 , 8664 
 3694 , 8646 
 5051 , 8630 
 5998 , 8619 
 4235 , 8617 
 5249 , 8611 
 5681 , 8610 
 6213 , 8603 
 6522 , 8594 
 6841 , 8593 
 2615 , 8580 
 3069 , 8580 
 5879 , 8576 
 4080 , 8566 
 4528 , 8560 
 4371 , 8554 
 5492 , 8545 
 6333 , 8540 
 6719 , 8535 
 3889 , 8534 
 2444 , 8520 
 5044 , 8489 
 3543 , 8483 
 2806 , 8483 
 6113 , 8480 
 3348 , 8480 
 4465 , 8461 
 5913 , 8452 
 4223 , 8451 
 6572 , 8441 
 4940 , 8439 
 3057 , 8436 
 3931 , 8429 
 5646 , 8407 
 4757 , 8388 
 6204 , 8387 
 5195 , 8349 
 3772 , 8347 
 4931 , 8335 
 6564 , 8328 
 6981 , 8323 
 2412 , 8323 
