"SPECIES: common name","Edible frog"
"SPECIES: Latin  name","Rana esculenta"
"RETINAL CELL TYPE NAME: as published","alpha-c RGC"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-ab"
"PRIMARY CITATION for these mosaics","Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","left retina, inner band (streak)"
"NUMBER OF CELLS",56
"AREA OF SAMPLED FIELD (sq mm)",30.99
"TOTAL RETINAL AREA (sq mm)",73.5
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","alpha-c mosaic in region of highest alpha-cell density"
"X","Y"
 6096 , 14005 
 6388 , 13714 
 7003 , 13595 
 4881 , 13556 
 6041 , 13444 
 6407 , 13415 
 5499 , 13374 
 7042 , 13240 
 6211 , 13154 
 6501 , 12893 
 5382 , 12672 
 6720 , 12574 
 6147 , 12451 
 6683 , 12090 
 7365 , 11793 
 7666 , 11567 
 6943 , 11525 
 5818 , 11519 
 7814 , 11386 
 6956 , 11120 
 6141 , 11085 
 7561 , 11008 
 8036 , 10950 
 6548 , 10847 
 5751 , 10784 
 6977 , 10385 
 6387 , 9884 
 6047 , 9865 
 6262 , 9507 
 5476 , 9378 
 5772 , 9280 
 6132 , 9231 
 5505 , 8778 
 6318 , 8150 
 7271 , 8125 
 6784 , 8104 
 6042 , 7953 
 7064 , 7810 
 5632 , 7756 
 7456 , 7749 
 7313 , 7577 
 6380 , 7523 
 6825 , 7396 
 7458 , 7288 
 7107 , 7241 
 5656 , 7194 
 6642 , 7116 
 7700 , 6851 
 7186 , 6798 
 6526 , 6726 
 6826 , 6687 
 5699 , 6552 
 7171 , 6427 
 5930 , 6396 
 6418 , 6166 
 5806 , 6119 
