"SPECIES: common name","Grass goby"
"SPECIES: Latin  name","Zosterissessor ophiocephalus"
"RETINAL CELL TYPE NAME: as published","diaphorase-positive interstitial RGCs"
"OTHER MOSAICS in same sampling field","diaphorase-positive displaced RGCs"
"PRIMARY CITATION for these mosaics","Ota, Downing & Cook (1999) Anat Embryol 200: 487-494"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 2A (inner border)"
"RETINAL LOCATION of sampling field","temporal half-retina, left eye"
"NUMBER OF CELLS",107
"AREA OF SAMPLED FIELD (sq mm)",7.37
"TOTAL RETINAL AREA (sq mm)",59.2
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","For possible homologies of these RGCs with those in other teleosts, please refer to the Discussion of O,D,C 1999"
"X","Y"
 8236 , 9686 
 9226 , 9624 
 9000 , 9621 
 8547 , 9614 
 7953 , 9604 
 9604 , 9501 
 8435 , 9452 
 8694 , 9376 
 8171 , 9362 
 7855 , 9330 
 9114 , 9308 
 10045 , 9247 
 8486 , 9131 
 9887 , 9118 
 8925 , 9109 
 9627 , 9073 
 9693 , 8892 
 9409 , 8850 
 9124 , 8804 
 8854 , 8795 
 8306 , 8746 
 10046 , 8726 
 9719 , 8591 
 9223 , 8557 
 8998 , 8505 
 10099 , 8430 
 10627 , 8358 
 9075 , 8345 
 9582 , 8343 
 8822 , 8288 
 10439 , 8223 
 9400 , 8174 
 8959 , 8156 
 10682 , 8059 
 9715 , 7997 
 10210 , 7982 
 9443 , 7850 
 9970 , 7762 
 9032 , 7742 
 10269 , 7684 
 9531 , 7640 
 8831 , 7564 
 10675 , 7526 
 9797 , 7497 
 9964 , 7444 
 9374 , 7413 
 9768 , 7305 
 10490 , 7287 
 9254 , 7196 
 10003 , 7156 
 10686 , 7120 
 9754 , 7050 
 10643 , 6970 
 10388 , 6928 
 9447 , 6743 
 10041 , 6701 
 9833 , 6694 
 10647 , 6674 
 10579 , 6674 
 9793 , 6596 
 10415 , 6550 
 9204 , 6534 
 9658 , 6526 
 10152 , 6443 
 9494 , 6384 
 10082 , 6358 
 10588 , 6335 
 10232 , 6268 
 10058 , 6249 
 10683 , 6198 
 10488 , 6100 
 9193 , 6005 
 10552 , 5991 
 9269 , 5906 
 9506 , 5829 
 9075 , 5787 
 9507 , 5650 
 9745 , 5626 
 9226 , 5557 
 9862 , 5375 
 9372 , 5288 
 9600 , 5249 
 9123 , 5218 
 9947 , 5162 
 9904 , 5037 
 9199 , 4993 
 9482 , 4961 
 9703 , 4960 
 10216 , 4748 
 9896 , 4679 
 9150 , 4672 
 9348 , 4663 
 9609 , 4521 
 10140 , 4394 
 9935 , 4344 
 9414 , 4276 
 9152 , 4251 
 9721 , 4037 
 9415 , 4025 
 8640 , 3764 
 9460 , 3710 
 9238 , 3692 
 8453 , 3502 
 8854 , 3448 
 8186 , 3354 
 7872 , 3348 
 8629 , 3259 
