"SPECIES: common name","Cane toad"
"SPECIES: Latin  name","Bufo marinus"
"RETINAL CELL TYPE NAME: as published","alpha-ab RGC"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Becker, Cook (1999) Vis Neurosci 16: 861-879"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 3G"
"RETINAL LOCATION of sampling field","right eye, VN region"
"NUMBER OF CELLS",193
"AREA OF SAMPLED FIELD (sq mm)",9.66
"TOTAL RETINAL AREA (sq mm)",138.9
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 2; these X,Y values are from the original plot before rotation: V is on right, N at top"
"X","Y"
 14032 , 14986 
 13668 , 14870 
 13072 , 14852 
 12448 , 14823 
 13265 , 14820 
 13856 , 14801 
 11051 , 14754 
 11942 , 14748 
 14287 , 14708 
 13639 , 14700 
 11295 , 14694 
 12600 , 14679 
 13027 , 14668 
 13195 , 14634 
 12133 , 14631 
 10874 , 14625 
 11146 , 14620 
 13388 , 14612 
 13549 , 14553 
 11428 , 14511 
 13839 , 14503 
 12956 , 14480 
 12318 , 14472 
 12475 , 14452 
 12158 , 14445 
 11565 , 14443 
 12683 , 14443 
 13117 , 14406 
 13613 , 14396 
 12519 , 14380 
 10984 , 14378 
 13271 , 14360 
 11517 , 14328 
 12870 , 14316 
 14380 , 14310 
 13100 , 14304 
 11295 , 14259 
 14042 , 14242 
 11559 , 14186 
 11038 , 14180 
 11343 , 14092 
 11233 , 14021 
 13788 , 13999 
 13114 , 13975 
 12474 , 13951 
 11038 , 13899 
 13398 , 13881 
 12835 , 13841 
 12142 , 13825 
 11614 , 13806 
 14122 , 13759 
 11339 , 13742 
 12895 , 13713 
 13976 , 13697 
 11080 , 13676 
 13803 , 13634 
 11222 , 13599 
 11805 , 13580 
 11503 , 13577 
 14245 , 13565 
 12611 , 13512 
 13193 , 13495 
 11437 , 13471 
 13102 , 13444 
 11668 , 13441 
 12359 , 13427 
 12820 , 13426 
 11215 , 13381 
 13594 , 13373 
 11444 , 13315 
 13856 , 13311 
 11693 , 13297 
 13694 , 13264 
 11143 , 13245 
 11602 , 13243 
 10873 , 13237 
 12532 , 13233 
 12187 , 13227 
 14388 , 13225 
 14144 , 13168 
 11811 , 13127 
 13289 , 13085 
 11023 , 13077 
 11436 , 13065 
 11196 , 13049 
 12289 , 13024 
 11953 , 12992 
 14185 , 12989 
 13005 , 12980 
 13925 , 12978 
 11013 , 12976 
 11463 , 12975 
 12588 , 12960 
 12150 , 12934 
 11627 , 12908 
 12993 , 12864 
 12466 , 12864 
 12865 , 12858 
 13427 , 12826 
 11448 , 12813 
 12697 , 12810 
 11019 , 12796 
 11623 , 12761 
 11126 , 12741 
 12080 , 12726 
 12355 , 12716 
 13455 , 12663 
 12872 , 12601 
 12646 , 12586 
 12002 , 12573 
 11145 , 12556 
 12345 , 12473 
 13271 , 12463 
 10905 , 12458 
 13059 , 12440 
 12086 , 12439 
 13524 , 12438 
 11649 , 12434 
 12506 , 12383 
 11495 , 12373 
 10990 , 12367 
 12849 , 12367 
 11199 , 12338 
 13826 , 12334 
 12002 , 12292 
 12735 , 12288 
 13197 , 12262 
 11270 , 12212 
 12124 , 12188 
 13001 , 12187 
 11078 , 12178 
 12493 , 12168 
 12269 , 12150 
 13619 , 12127 
 11440 , 12096 
 12032 , 12080 
 12526 , 12080 
 10856 , 12076 
 13851 , 12042 
 12393 , 12019 
 12773 , 12010 
 13183 , 11979 
 11519 , 11951 
 11330 , 11935 
 10805 , 11920 
 13788 , 11919 
 11186 , 11915 
 13596 , 11909 
 14264 , 11909 
 12144 , 11870 
 10938 , 11856 
 13323 , 11854 
 12357 , 11843 
 13134 , 11837 
 13681 , 11797 
 12533 , 11761 
 10805 , 11723 
 14208 , 11667 
 11383 , 11667 
 12384 , 11662 
 11130 , 11647 
 13500 , 11645 
 11292 , 11630 
 12287 , 11578 
 13091 , 11523 
 14355 , 11501 
 12666 , 11451 
 13562 , 11449 
 12236 , 11447 
 13814 , 11422 
 10974 , 11404 
 11357 , 11399 
 10829 , 11395 
 11239 , 11347 
 11112 , 11329 
 12384 , 11325 
 12714 , 11322 
 12925 , 11283 
 13186 , 11270 
 12278 , 11252 
 13887 , 11216 
 11287 , 11196 
 13002 , 11195 
 11039 , 11193 
 13425 , 11106 
 12354 , 11096 
 10801 , 11059 
 12981 , 11036 
 13557 , 11035 
 12811 , 11016 
 14241 , 10962 
 13403 , 10948 
 10924 , 10948 
