"SPECIES: common name","Catfish"
"SPECIES: Latin  name","Ictalurus punctatus"
"RETINAL CELL TYPE NAME: as published","alpha-b RGCs"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-c"
"PRIMARY CITATION for these mosaics","Cook & Sharma (1995) J Comp Neurol 362: 331-349"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 3B"
"RETINAL LOCATION of sampling field","D/DT"
"NUMBER OF CELLS",51
"AREA OF SAMPLED FIELD (sq mm)",2.472
"TOTAL RETINAL AREA (sq mm)",16.01
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","small right retina; included in 3x overlay of M_403"
"X","Y"
 1973 , 7238 
 1706 , 7187 
 2230 , 7176 
 1686 , 7030 
 1537 , 6994 
 2464 , 6989 
 2001 , 6964 
 2738 , 6960 
 2259 , 6871 
 1546 , 6848 
 2432 , 6804 
 2845 , 6774 
 2587 , 6719 
 1776 , 6709 
 2021 , 6643 
 2363 , 6640 
 2926 , 6608 
 1304 , 6596 
 1411 , 6463 
 2096 , 6460 
 3062 , 6454 
 2475 , 6432 
 2972 , 6417 
 2828 , 6413 
 2685 , 6393 
 2223 , 6304 
 3154 , 6240 
 2940 , 6159 
 1919 , 6147 
 2808 , 6142 
 2512 , 6139 
 2254 , 6029 
 2799 , 6009 
 2065 , 5982 
 2447 , 5950 
 2931 , 5906 
 2226 , 5883 
 2808 , 5874 
 1710 , 5742 
 2736 , 5700 
 2638 , 5621 
 1626 , 5531 
 2451 , 5451 
 1450 , 5429 
 2237 , 5423 
 1043 , 5277 
 1964 , 5196 
 1486 , 5174 
 1278 , 5142 
 1791 , 5036 
 2001 , 5017 
