SPECIES: common name,Grass goby
SPECIES: Latin  name,Zosterissessor ophiocephalus
RETINAL CELL TYPE NAME: as published,diaphorase-positive displaced RGCs
OTHER MOSAICS in same sampling field,diaphorase-positive interstitial RGCs
PRIMARY CITATION for these mosaics,"Ota, Downing & Cook (1999) Anat Embryol 200: 487-494"
MOSAIC/FIELD-BORDER: published fig(s),Fig 2A (outer border)
RETINAL LOCATION of sampling field,"temporal half-retina, left eye"
NUMBER OF CELLS,133
AREA OF SAMPLED FIELD (sq mm),19.8
TOTAL RETINAL AREA (sq mm),59.2
"UNIT OF X,Y (microns)",0.8333
COMMENTS,"For possible homologies of these RGCs with those in other teleosts, please refer to the Discussion of O,D,C 1999"
X,Y
8622,11936
7984,11741
8500,11292
7635,11116
9098,11027
9603,11017
8068,10879
9696,10781
9610,10359
7733,10346
9173,10321
8388,10300
10105,10246
8789,10174
9689,9956
7240,9950
8189,9826
8990,9820
9431,9736
10036,9641
8592,9611
7718,9530
8744,9433
9702,9386
10044,9301
7907,9282
9251,9214
8215,9075
9842,8954
8685,8951
7606,8932
10266,8875
8346,8839
9453,8757
8973,8695
7401,8650
8493,8613
9685,8530
8016,8418
10282,8414
9177,8404
8790,8250
10898,8226
9689,8185
8190,8106
9188,8055
8741,7999
10561,7921
10243,7879
9812,7859
11003,7786
8946,7760
9847,7531
8636,7507
10266,7472
8986,7459
9505,7449
10595,7427
10225,7200
11233,7188
9444,7175
8884,7132
10924,7114
9880,7014
10537,6991
8817,6840
9340,6813
10163,6765
9755,6745
10892,6688
9064,6536
10439,6433
9438,6429
9885,6328
8730,6297
10564,6055
5853,6044
8284,5971
8733,5935
6236,5913
7119,5906
10958,5867
9511,5844
8061,5838
9181,5751
9887,5654
5934,5599
7188,5571
6386,5530
9090,5513
8746,5464
8385,5454
9456,5399
8085,5332
6717,5285
9813,5269
6948,5267
5863,5233
9033,5164
8714,5029
9415,4988
8352,4982
10107,4955
6603,4902
7967,4849
9715,4728
10297,4687
6953,4656
9276,4519
7267,4471
6727,4390
9828,4374
8733,4305
7292,4210
8420,4158
7802,4033
9508,4025
8947,4007
6810,3975
8322,3808
7065,3776
6837,3754
9271,3663
8037,3645
8719,3587
7755,3561
7279,3403
9024,3376
6894,3355
8400,3327
7649,3147
7134,2974
8120,2940
