SPECIES: common name,Northern leopard frog
SPECIES: Latin  name,Rana pipiens
RETINAL CELL TYPE NAME: as published,alpha-a RGCs
OTHER MOSAICS in same sampling field,"alpha-ab, alpha-c"
PRIMARY CITATION for these mosaics,"Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
MOSAIC/FIELD-BORDER: published fig(s),n/a
RETINAL LOCATION of sampling field,left eye
NUMBER OF CELLS,72
AREA OF SAMPLED FIELD (sq mm),n/a
TOTAL RETINAL AREA (sq mm),66.58
"UNIT OF X,Y (microns)",0.8333
COMMENTS,"superset of M_424 extending dorsally across the full width of the streak, beyond the area in which the alpha-c mosaic could be plotted satisfactorily"
X,Y
13346,9503
13752,9376
13449,9375
13965,9309
13256,9259
13687,9200
13491,9110
13280,9044
13107,9041
12911,9005
13741,8936
14029,8893
12613,8855
13460,8820
13266,8770
13088,8767
12831,8722
14198,8680
13798,8605
13498,8558
12794,8528
12936,8484
14167,8472
13443,8419
13609,8401
13857,8311
12902,8263
12659,8254
14288,8236
13283,8193
13519,8192
14015,8176
13100,8126
13866,8092
13415,8014
14137,8003
12601,7958
12999,7930
13110,7852
13699,7813
12704,7810
13415,7743
14081,7723
13899,7699
14380,7625
12925,7557
13429,7550
13610,7492
13903,7491
14158,7442
13365,7374
12771,7263
13615,7241
14026,7189
13304,7165
12719,7061
13179,7022
14319,6987
13658,6904
12918,6844
13475,6811
14231,6744
13246,6725
13752,6600
12947,6427
13468,6320
12610,6314
13098,6222
13983,6161
12662,6045
13598,5935
13174,5916
