"SPECIES: common name","Ronquil"
"SPECIES: Latin  name","Bathymaster derjugini, Bathymasteridae, Perciformes"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook, Podugolnikova & Kondrashev (1999) Vision Res 39: 2615-2631"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 9A, Table 2"
"RETINAL LOCATION of sampling field","right eye, DN streak region"
"NUMBER OF CELLS",86
"AREA OF SAMPLED FIELD (sq mm)",0.689
"TOTAL RETINAL AREA (sq mm)",29.63
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 2 for NND and correlogram/DRP analysis data"
"X","Y"
 5646 , 9507 
 5858 , 9461 
 5990 , 9452 
 5666 , 9433 
 5726 , 9378 
 6204 , 9347 
 5595 , 9345 
 5923 , 9334 
 5796 , 9329 
 6053 , 9321 
 5694 , 9299 
 6112 , 9288 
 5849 , 9282 
 5967 , 9277 
 5612 , 9255 
 6186 , 9242 
 6284 , 9225 
 5749 , 9211 
 6035 , 9209 
 5922 , 9183 
 6106 , 9183 
 6370 , 9179 
 5845 , 9168 
 6226 , 9167 
 5650 , 9152 
 5722 , 9144 
 6430 , 9140 
 6151 , 9137 
 6507 , 9136 
 6295 , 9126 
 5972 , 9122 
 6035 , 9113 
 5682 , 9083 
 6211 , 9080 
 5789 , 9073 
 6315 , 9047 
 6130 , 9037 
 6049 , 9029 
 5724 , 9021 
 5785 , 9015 
 6576 , 9014 
 6237 , 9002 
 5952 , 9002 
 5887 , 8997 
 6370 , 8990 
 6062 , 8970 
 6499 , 8966 
 5985 , 8943 
 6284 , 8942 
 6154 , 8940 
 5644 , 8926 
 6418 , 8925 
 5858 , 8907 
 6325 , 8890 
 6072 , 8887 
 6202 , 8887 
 6460 , 8876 
 5939 , 8873 
 5681 , 8858 
 6131 , 8840 
 6254 , 8832 
 6029 , 8822 
 6380 , 8810 
 5939 , 8804 
 5660 , 8769 
 6165 , 8769 
 6301 , 8758 
 6413 , 8744 
 6207 , 8739 
 5968 , 8731 
 5698 , 8719 
 5555 , 8712 
 5611 , 8686 
 6285 , 8683 
 6024 , 8674 
 6115 , 8651 
 5688 , 8646 
 6196 , 8635 
 5603 , 8611 
 6040 , 8576 
 5707 , 8568 
 6202 , 8535 
 5630 , 8521 
 6114 , 8446 
 5785 , 8436 
 6033 , 8371 
