"SPECIES: common name","South African clawed frog, metamorphic juvenile"
"SPECIES: Latin  name","Xenopus laevis"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Cook (1997) Vis Neurosci 14:811-826"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 10"
"RETINAL LOCATION of sampling field","dorsal region (VT/VN)"
"NUMBER OF CELLS",81
"AREA OF SAMPLED FIELD (sq mm)",1.11
"TOTAL RETINAL AREA (sq mm)",5.14
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 2 for NND/DRP analysis data"
"X","Y"
 2506 , 6684 
 1318 , 6639 
 2569 , 6594 
 2376 , 6588 
 1195 , 6577 
 1346 , 6533 
 1192 , 6496 
 2527 , 6493 
 2785 , 6483 
 2296 , 6460 
 2404 , 6457 
 1429 , 6435 
 1205 , 6398 
 2526 , 6393 
 1004 , 6381 
 1090 , 6365 
 2412 , 6358 
 2813 , 6352 
 1266 , 6325 
 1549 , 6319 
 2158 , 6311 
 843 , 6299 
 1134 , 6273 
 3027 , 6273 
 2495 , 6270 
 2676 , 6269 
 2272 , 6257 
 2949 , 6255 
 2804 , 6254 
 716 , 6225 
 1347 , 6221 
 2549 , 6214 
 2724 , 6210 
 2866 , 6206 
 2352 , 6194 
 1463 , 6193 
 1612 , 6193 
 964 , 6193 
 3138 , 6191 
 818 , 6190 
 2066 , 6178 
 643 , 6175 
 1286 , 6170 
 553 , 6164 
 1185 , 6139 
 1075 , 6106 
 2962 , 6096 
 731 , 6081 
 3109 , 6077 
 584 , 6075 
 861 , 6070 
 479 , 6065 
 1651 , 6063 
 1357 , 6060 
 399 , 6056 
 1525 , 6039 
 2101 , 6034 
 2291 , 6010 
 2420 , 6003 
 1270 , 5990 
 1704 , 5978 
 467 , 5967 
 1000 , 5959 
 659 , 5947 
 789 , 5936 
 1115 , 5930 
 574 , 5924 
 906 , 5898 
 1406 , 5868 
 460 , 5865 
 822 , 5842 
 1036 , 5789 
 1250 , 5777 
 640 , 5755 
 560 , 5755 
 481 , 5718 
 731 , 5715 
 907 , 5675 
 829 , 5671 
 1012 , 5637 
 941 , 5543 
