"SPECIES: common name","South African clawed frog, metamorphic juvenile"
"SPECIES: Latin  name","Xenopus laevis"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Cook (1997) Vis Neurosci 14:811-826"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","n/a"
"NUMBER OF CELLS",34
"AREA OF SAMPLED FIELD (sq mm)",0.493
"TOTAL RETINAL AREA (sq mm)",""
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see text; autocorrelogram/DRP autoER 49.2 um (bin width 20)"
"X","Y"
 872 , 5449 
 977 , 5411 
 906 , 5356 
 831 , 5240 
 973 , 5236 
 1095 , 5149 
 892 , 5145 
 898 , 5022 
 1052 , 4888 
 769 , 4871 
 856 , 4865 
 1199 , 4865 
 1023 , 4771 
 887 , 4748 
 628 , 4748 
 1339 , 4719 
 1437 , 4709 
 755 , 4689 
 1088 , 4674 
 892 , 4653 
 647 , 4633 
 1213 , 4617 
 1495 , 4599 
 824 , 4576 
 710 , 4554 
 618 , 4552 
 1487 , 4528 
 922 , 4500 
 1104 , 4486 
 708 , 4484 
 1274 , 4461 
 606 , 4428 
 1227 , 4341 
 1335 , 4332 
