"SPECIES: Common name","Motorbike Frog"
"SPECIES: Latin  name","Litoria (formerly Hyla) moorei"
"RETINAL CELL TYPE NAME: as published","alpha2-ab RGC"
"OTHER MOSAICS in same sampling field","undersampled alpha1-ab"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Becker, Cook (1999) Vis Neurosci 16: 861-879"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","left eye? dorsal"
"NUMBER OF CELLS",217
"AREA OF SAMPLED FIELD (sq mm)",2.538
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Cook (1996) Vis Neurosci 13: 15-30 tabulated statistical data for this mosaic but total retinal area data is not available"
"X","Y"
 10486 , 7208 
 10666 , 7203 
 9820 , 7199 
 9086 , 7185 
 9243 , 7179 
 10155 , 7177 
 9970 , 7166 
 9638 , 7152 
 9560 , 7148 
 10191 , 7128 
 9497 , 7126 
 10115 , 7121 
 9123 , 7120 
 9754 , 7120 
 9240 , 7109 
 9939 , 7105 
 10700 , 7100 
 10443 , 7100 
 9167 , 7084 
 9856 , 7071 
 9542 , 7071 
 9036 , 7056 
 9989 , 7036 
 9103 , 7031 
 10707 , 7025 
 9807 , 7020 
 9252 , 7009 
 9937 , 7008 
 9312 , 7004 
 10530 , 7001 
 10046 , 7000 
 9054 , 6994 
 9498 , 6992 
 10618 , 6985 
 10414 , 6984 
 9586 , 6980 
 9366 , 6968 
 10529 , 6946 
 9417 , 6942 
 9180 , 6936 
 10166 , 6935 
 9613 , 6934 
 10345 , 6933 
 9308 , 6929 
 9557 , 6922 
 9360 , 6909 
 10093 , 6907 
 9091 , 6896 
 10614 , 6892 
 9178 , 6880 
 10456 , 6871 
 9504 , 6868 
 10138 , 6860 
 10287 , 6854 
 9667 , 6852 
 9326 , 6839 
 10767 , 6826 
 10690 , 6819 
 9616 , 6801 
 9233 , 6797 
 9886 , 6792 
 10634 , 6788 
 10165 , 6783 
 9373 , 6779 
 9054 , 6764 
 9221 , 6747 
 9722 , 6736 
 10337 , 6732 
 9564 , 6728 
 9176 , 6722 
 9890 , 6721 
 10718 , 6715 
 9449 , 6699 
 9516 , 6673 
 10008 , 6664 
 9928 , 6663 
 10412 , 6658 
 9302 , 6654 
 9671 , 6652 
 9217 , 6638 
 9365 , 6626 
 10743 , 6607 
 9145 , 6600 
 10100 , 6583 
 10026 , 6576 
 9745 , 6571 
 9946 , 6566 
 10413 , 6565 
 9946 , 6559 
 9502 , 6551 
 10008 , 6550 
 9867 , 6546 
 10482 , 6538 
 9125 , 6527 
 9571 , 6526 
 10679 , 6513 
 9688 , 6507 
 10071 , 6503 
 10611 , 6479 
 9911 , 6476 
 9542 , 6475 
 9234 , 6472 
 10453 , 6459 
 10709 , 6452 
 9083 , 6450 
 10517 , 6436 
 10793 , 6432 
 9524 , 6422 
 10101 , 6418 
 9346 , 6407 
 10495 , 6394 
 9848 , 6390 
 9667 , 6369 
 9077 , 6352 
 10448 , 6345 
 9226 , 6340 
 10074 , 6337 
 9583 , 6320 
 10513 , 6310 
 10136 , 6309 
 9139 , 6292 
 9501 , 6291 
 9626 , 6287 
 9235 , 6260 
 9893 , 6256 
 10742 , 6252 
 9820 , 6232 
 10517 , 6218 
 10091 , 6218 
 9177 , 6211 
 10708 , 6200 
 10192 , 6197 
 9603 , 6192 
 10428 , 6188 
 10032 , 6156 
 9943 , 6152 
 9580 , 6128 
 9640 , 6109 
 9037 , 6100 
 9427 , 6088 
 9357 , 6055 
 9201 , 6052 
 9270 , 6052 
 10032 , 6049 
 9740 , 6046 
 10197 , 6038 
 10164 , 6005 
 10307 , 5996 
 9316 , 5959 
 10106 , 5956 
 9377 , 5950 
 9632 , 5927 
 9988 , 5920 
 9428 , 5910 
 9040 , 5886 
 9084 , 5875 
 10285 , 5854 
 9919 , 5851 
 10433 , 5849 
 10017 , 5847 
 10194 , 5815 
 9066 , 5812 
 9462 , 5811 
 10518 , 5808 
 9589 , 5808 
 10388 , 5795 
 10143 , 5772 
 9758 , 5771 
 9509 , 5748 
 10030 , 5745 
 9042 , 5723 
 9114 , 5722 
 9204 , 5712 
 9713 , 5671 
 9392 , 5670 
 10496 , 5668 
 9878 , 5649 
 9307 , 5624 
 9821 , 5604 
 10106 , 5576 
 9991 , 5548 
 9602 , 5547 
 10277 , 5529 
 9213 , 5528 
 9441 , 5511 
 9828 , 5505 
 9128 , 5472 
 9610 , 5447 
 9698 , 5438 
 9845 , 5434 
 10212 , 5404 
 9799 , 5395 
 9460 , 5368 
 10144 , 5339 
 9281 , 5326 
 9128 , 5312 
 9956 , 5306 
 10050 , 5304 
 9815 , 5272 
 9074 , 5224 
 9937 , 5206 
 9148 , 5203 
 9619 , 5190 
 9299 , 5189 
 9372 , 5163 
 9943 , 5128 
 9013 , 5124 
 9100 , 5111 
 9636 , 5099 
 9313 , 5031 
 9749 , 4998 
 9245 , 4987 
 9006 , 4979 
 9437 , 4934 
 9089 , 4880 
 9135 , 4834 
 9256 , 4813 
