"SPECIES: common name","Treefrog"
"SPECIES: Latin  name","Litoria (formerly Hyla) moorei"
"RETINAL CELL TYPE NAME: as published","alpha1-ab RGC"
"OTHER MOSAICS in same sampling field","alpha2-ab"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Becker, Cook (1999) Vis Neurosci 16: 861-879"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 9A"
"RETINAL LOCATION of sampling field","dorsal"
"NUMBER OF CELLS",55
"AREA OF SAMPLED FIELD (sq mm)",2.149
"TOTAL RETINAL AREA (sq mm)",45.4
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","alpha1-ab cells share many features with alpha-a cells in other frogs but also have dendrites in sublamina b"
"X","Y"
 3647 , 11723 
 3647 , 11431 
 3940 , 11210 
 3785 , 11202 
 3874 , 11019 
 4027 , 10951 
 3849 , 10838 
 3912 , 10683 
 3613 , 10676 
 4405 , 10538 
 4245 , 10523 
 4104 , 10491 
 4535 , 10375 
 4093 , 10273 
 3688 , 10265 
 4297 , 10220 
 4658 , 10200 
 4773 , 10162 
 4530 , 10139 
 3957 , 10132 
 3751 , 10118 
 3614 , 10075 
 4485 , 9980 
 4115 , 9972 
 3613 , 9895 
 3824 , 9880 
 3964 , 9872 
 4762 , 9850 
 4468 , 9804 
 4058 , 9799 
 4703 , 9707 
 4149 , 9701 
 3641 , 9694 
 4086 , 9610 
 3978 , 9554 
 4824 , 9529 
 4451 , 9525 
 5056 , 9510 
 4659 , 9500 
 4393 , 9375 
 3825 , 9299 
 4079 , 9292 
 4125 , 9279 
 4325 , 9220 
 5261 , 9196 
 3842 , 9168 
 4257 , 9149 
 4550 , 9146 
 4065 , 9070 
 4372 , 9055 
 5315 , 9018 
 4933 , 8994 
 4660 , 8990 
 4163 , 8954 
 3865 , 8821 
