"SPECIES: common name","Common house gecko"
"SPECIES: Latin  name","Hemidactylus frenatus"
"RETINAL CELL TYPE NAME: as published","radial dendritic links"
"OTHER MOSAICS in same sampling field","D1 receptor doublets"
"PRIMARY CITATION for these mosaics","Cook and Noden (1998) Brain Behav Evol 51: 263-283"
"MOSAIC/FIELD-BORDER: published fig(s)","Figs 9A, 10B, 10C"
"RETINAL LOCATION of sampling field","n/a"
"NUMBER OF CELLS",112
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.1667
"COMMENTS","radial dendritic links from alpha-ab RGCs into sublamina a plotted at x600 (5x usual magnification) over the same three non-overlapping regions of the same retina"
"X","Y"
 1773 , 4793 
 1698 , 4704 
 1289 , 4681 
 1552 , 4671 
 1231 , 4576 
 1764 , 4569 
 1418 , 4566 
 1308 , 4559 
 1881 , 4540 
 1626 , 4511 
 1758 , 4472 
 1285 , 4465 
 1395 , 4461 
 2074 , 4460 
 1990 , 4423 
 1546 , 4412 
 1838 , 4372 
 1209 , 4369 
 1316 , 4355 
 1184 , 4331 
 1641 , 4306 
 1529 , 4281 
 1311 , 4249 
 1772 , 4243 
 1408 , 4242 
 985 , 4150 
 1161 , 4144 
 1081 , 4134 
 1451 , 4134 
 1858 , 4108 
 413 , 4102 
 1611 , 4096 
 1987 , 4078 
 2046 , 4077 
 1620 , 4074 
 192 , 4063 
 1078 , 4058 
 1701 , 4045 
 1435 , 4040 
 1818 , 4034 
 1625 , 4029 
 256 , 4028 
 1436 , 3985 
-156 , 3983 
 1560 , 3979 
 1944 , 3979 
 1352 , 3964 
 1666 , 3929 
-134 , 3928 
 1563 , 3914 
 1788 , 3904 
 1490 , 3877 
 299 , 3873 
 1914 , 3867 
 1636 , 3864 
-38 , 3853 
 1369 , 3828 
 1907 , 3802 
 1416 , 3761 
 1489 , 3753 
 1971 , 3740 
 1499 , 3708 
 1815 , 3699 
 1754 , 3689 
 1830 , 3664 
 1418 , 3575 
 1957 , 3466 
 1841 , 3464 
 1745 , 3400 
 1840 , 3371 
 1622 , 3363 
 1932 , 3361 
 1704 , 3347 
 1788 , 3322 
 1938 , 3289 
 1689 , 3265 
 1749 , 3231 
 1496 , 3227 
 1807 , 3219 
 1338 , 3200 
 1955 , 3168 
 1715 , 3167 
 750 , 3154 
 1489 , 3153 
 1745 , 3151 
 1366 , 3147 
 1334 , 3140 
 1627 , 3134 
 1868 , 3134 
 1485 , 3123 
 2037 , 3121 
 1729 , 3080 
 1915 , 3077 
 840 , 3073 
 420 , 3067 
 1641 , 3066 
 1815 , 3057 
 586 , 3056 
 1975 , 3051 
 706 , 3036 
 1407 , 3026 
 1826 , 3021 
 1764 , 3018 
 867 , 3000 
 513 , 2994 
 924 , 2988 
 1626 , 2977 
 708 , 2970 
 958 , 2931 
 597 , 2901 
 916 , 2885 
 650 , 2719 
