"SPECIES: common name","Chicken at embryonic day 20"
"SPECIES: Latin  name","Gallus gallus"
"RETINAL CELL TYPE NAME: as published","Displaced GCs (of Dogiel, AOS-projecting)"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","central/VN/VT, left eye"
"NUMBER OF CELLS",847
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Specimen prepared by Sandra Fraley; data combined with M_466, M_470 as Fig 3F"
"X","Y"
 6551 , 18748 
 6993 , 18692 
 7459 , 18677 
 7484 , 18647 
 6345 , 18615 
 7815 , 18567 
 6800 , 18500 
 6702 , 18471 
 7433 , 18461 
 7709 , 18437 
 6620 , 18437 
 7099 , 18399 
 7681 , 18383 
 7282 , 18369 
 7764 , 18353 
 7038 , 18348 
 6862 , 18324 
 6086 , 18282 
 7883 , 18217 
 6226 , 18172 
 7362 , 18166 
 5827 , 18163 
 6587 , 18158 
 6480 , 18122 
 6614 , 18111 
 7810 , 18102 
 7356 , 18098 
 6805 , 18096 
 6752 , 18065 
 7887 , 18055 
 7357 , 18047 
 7233 , 18033 
 5946 , 18029 
 7583 , 18028 
 6096 , 17995 
 7055 , 17977 
 6766 , 17973 
 7624 , 17972 
 6613 , 17962 
 7934 , 17945 
 5844 , 17923 
 7604 , 17921 
 5352 , 17905 
 7626 , 17895 
 8005 , 17857 
 5179 , 17850 
 7259 , 17831 
 6248 , 17824 
 5013 , 17822 
 6929 , 17810 
 7254 , 17801 
 5279 , 17796 
 5565 , 17793 
 5000 , 17760 
 7795 , 17753 
 6651 , 17750 
 6896 , 17749 
 7920 , 17746 
 7585 , 17733 
 7072 , 17651 
 6117 , 17647 
 7384 , 17644 
 6388 , 17620 
 5791 , 17607 
 5971 , 17601 
 6782 , 17599 
 5304 , 17585 
 7362 , 17581 
 6120 , 17556 
 4920 , 17540 
 7001 , 17515 
 4941 , 17499 
 6295 , 17481 
 5870 , 17403 
 5723 , 17398 
 4111 , 17362 
 5534 , 17360 
 6026 , 17357 
 4048 , 17356 
 6226 , 17346 
 4173 , 17329 
 5418 , 17328 
 4976 , 17323 
 6166 , 17309 
 7256 , 17308 
 6139 , 17287 
 3928 , 17276 
 6864 , 17272 
 5469 , 17269 
 5086 , 17249 
 7634 , 17248 
 6653 , 17229 
 5605 , 17210 
 6125 , 17206 
 6287 , 17197 
 7690 , 17187 
 6672 , 17182 
 5386 , 17181 
 7072 , 17179 
 3669 , 17179 
 3903 , 17173 
 4178 , 17168 
 7319 , 17159 
 5624 , 17154 
 4386 , 17105 
 5768 , 17098 
 5992 , 17072 
 5756 , 17070 
 5185 , 17029 
 5162 , 17022 
 7059 , 17022 
 4241 , 17022 
 3793 , 17017 
 6355 , 17006 
 6150 , 16977 
 7558 , 16967 
 6694 , 16962 
 7778 , 16955 
 5767 , 16953 
 4232 , 16937 
 4548 , 16937 
 5255 , 16933 
 7073 , 16930 
 5899 , 16925 
 4130 , 16908 
 5851 , 16882 
 5113 , 16879 
 6874 , 16867 
 7829 , 16866 
 3891 , 16862 
 7606 , 16853 
 6607 , 16843 
 6338 , 16842 
 4546 , 16839 
 7435 , 16827 
 5682 , 16824 
 5510 , 16809 
 5685 , 16792 
 7616 , 16789 
 5517 , 16783 
 7700 , 16781 
 6447 , 16775 
 6356 , 16747 
 4284 , 16737 
 6916 , 16717 
 5390 , 16703 
 4652 , 16683 
 6614 , 16682 
 7534 , 16679 
 6914 , 16679 
 5281 , 16664 
 6167 , 16657 
 7825 , 16651 
 4032 , 16618 
 5122 , 16602 
 7379 , 16602 
 4423 , 16598 
 7275 , 16586 
 5147 , 16585 
 4677 , 16584 
 5602 , 16580 
 6381 , 16562 
 4642 , 16546 
 6352 , 16545 
 4045 , 16543 
 4726 , 16532 
 4084 , 16509 
 6102 , 16508 
 5612 , 16496 
 6158 , 16491 
 3664 , 16486 
 4509 , 16483 
 4456 , 16476 
 6995 , 16473 
 5810 , 16469 
 6802 , 16450 
 3792 , 16445 
 5997 , 16444 
 6751 , 16384 
 4540 , 16380 
 7633 , 16365 
 4806 , 16354 
 6852 , 16350 
 7492 , 16349 
 6439 , 16347 
 5299 , 16343 
 5455 , 16340 
 4517 , 16318 
 4113 , 16316 
 4224 , 16309 
 5784 , 16307 
 5135 , 16297 
 7360 , 16280 
 6091 , 16277 
 5279 , 16269 
 5636 , 16266 
 6622 , 16255 
 4019 , 16236 
 6114 , 16228 
 6370 , 16223 
 6459 , 16209 
 6921 , 16205 
 7092 , 16201 
 5469 , 16198 
 6227 , 16183 
 7519 , 16172 
 5780 , 16171 
 4615 , 16162 
 7064 , 16158 
 4587 , 16147 
 3856 , 16142 
 3916 , 16142 
 5080 , 16127 
 6725 , 16112 
 7421 , 16098 
 6780 , 16090 
 5884 , 16047 
 4878 , 16020 
 5589 , 16014 
 5978 , 16013 
 5740 , 16012 
 7602 , 16007 
 6441 , 15995 
 4238 , 15990 
 4281 , 15990 
 6486 , 15950 
 4570 , 15929 
 12970 , 15928 
 4075 , 15921 
 4976 , 15913 
 5195 , 15908 
 6841 , 15895 
 3983 , 15894 
 7075 , 15891 
 13116 , 15882 
 5716 , 15872 
 5188 , 15865 
 6352 , 15852 
 7411 , 15851 
 5194 , 15844 
 6780 , 15821 
 6042 , 15815 
 5548 , 15808 
 4867 , 15808 
 6276 , 15801 
 4126 , 15786 
 7294 , 15766 
 4719 , 15763 
 13309 , 15758 
 6707 , 15737 
 6729 , 15724 
 13599 , 15721 
 5714 , 15716 
 7658 , 15712 
 6026 , 15712 
 4002 , 15703 
 4360 , 15701 
 13628 , 15697 
 3812 , 15694 
 4285 , 15694 
 13058 , 15689 
 4297 , 15685 
 7762 , 15674 
 13357 , 15670 
 12468 , 15668 
 13354 , 15645 
 6100 , 15639 
 4963 , 15636 
 7015 , 15634 
 13951 , 15631 
 3885 , 15630 
 6491 , 15616 
 13871 , 15612 
 5271 , 15610 
 6413 , 15609 
 12747 , 15604 
 4625 , 15601 
 6941 , 15594 
 5826 , 15587 
 4671 , 15587 
 5269 , 15583 
 13543 , 15582 
 5239 , 15566 
 13384 , 15555 
 5484 , 15552 
 6728 , 15550 
 5284 , 15548 
 6926 , 15533 
 14255 , 15530 
 4290 , 15529 
 3694 , 15526 
 5911 , 15521 
 13116 , 15516 
 5604 , 15515 
 14007 , 15512 
 4114 , 15502 
 4812 , 15502 
 5567 , 15491 
 6308 , 15489 
 13693 , 15483 
 5852 , 15480 
 4501 , 15451 
 13930 , 15444 
 12047 , 15434 
 5012 , 15427 
 6035 , 15419 
 4005 , 15412 
 7407 , 15408 
 5501 , 15399 
 6358 , 15392 
 13305 , 15386 
 6191 , 15376 
 4128 , 15375 
 6496 , 15372 
 12919 , 15372 
 13312 , 15358 
 12119 , 15358 
 4344 , 15353 
 7419 , 15348 
 3770 , 15339 
 5298 , 15324 
 6090 , 15318 
 4710 , 15318 
 5986 , 15312 
 13770 , 15308 
 6811 , 15299 
 6518 , 15291 
 4560 , 15285 
 5118 , 15273 
 5826 , 15267 
 4497 , 15267 
 5947 , 15265 
 11863 , 15260 
 5563 , 15247 
 6611 , 15241 
 14152 , 15236 
 7049 , 15216 
 6635 , 15205 
 4041 , 15192 
 3654 , 15171 
 13770 , 15160 
 12510 , 15149 
 6853 , 15148 
 5146 , 15138 
 12886 , 15137 
 14219 , 15121 
 6352 , 15119 
 5919 , 15117 
 6055 , 15113 
 4745 , 15099 
 4395 , 15082 
 5285 , 15072 
 5467 , 15072 
 4491 , 15060 
 13313 , 15059 
 12078 , 15059 
 7106 , 15059 
 4949 , 15058 
 12624 , 15056 
 6855 , 15043 
 5509 , 15043 
 13466 , 15042 
 13874 , 15039 
 4093 , 15036 
 4628 , 15029 
 3625 , 15016 
 3686 , 15014 
 12088 , 15013 
 5587 , 15005 
 12916 , 14987 
 3792 , 14986 
 3663 , 14983 
 11644 , 14980 
 5637 , 14978 
 14113 , 14970 
 6083 , 14952 
 11757 , 14952 
 3617 , 14939 
 6343 , 14937 
 14005 , 14927 
 5169 , 14919 
 7084 , 14898 
 5721 , 14892 
 5024 , 14891 
 4596 , 14891 
 13213 , 14882 
 4982 , 14880 
 6745 , 14869 
 12788 , 14867 
 4829 , 14859 
 14292 , 14856 
 13774 , 14846 
 11880 , 14845 
 4478 , 14831 
 4161 , 14816 
 6022 , 14814 
 6525 , 14803 
 12605 , 14801 
 13681 , 14789 
 5176 , 14781 
 5669 , 14780 
 13670 , 14777 
 11618 , 14775 
 12008 , 14772 
 4182 , 14765 
 3803 , 14759 
 12234 , 14759 
 6891 , 14759 
 12275 , 14756 
 12707 , 14749 
 5317 , 14747 
 12525 , 14726 
 4158 , 14725 
 4673 , 14722 
 5388 , 14719 
 4503 , 14712 
 6361 , 14710 
 12036 , 14710 
 12971 , 14706 
 13152 , 14703 
 4447 , 14690 
 5976 , 14687 
 4561 , 14686 
 13571 , 14674 
 11959 , 14655 
 13844 , 14653 
 11621 , 14652 
 6046 , 14647 
 12351 , 14644 
 5609 , 14643 
 5488 , 14643 
 12987 , 14633 
 14071 , 14631 
 5818 , 14626 
 5123 , 14611 
 14295 , 14609 
 11231 , 14608 
 4118 , 14605 
 3879 , 14602 
 5573 , 14591 
 6739 , 14577 
 5979 , 14570 
 4686 , 14568 
 12782 , 14568 
 3816 , 14563 
 5840 , 14561 
 6326 , 14558 
 11859 , 14557 
 4649 , 14544 
 4859 , 14514 
 13503 , 14512 
 13380 , 14508 
 13639 , 14504 
 5263 , 14500 
 13264 , 14498 
 11455 , 14494 
 12305 , 14489 
 13725 , 14483 
 6013 , 14476 
 5461 , 14466 
 4771 , 14462 
 6322 , 14454 
 13354 , 14454 
 12841 , 14449 
 11293 , 14447 
 10840 , 14437 
 11537 , 14435 
 4138 , 14419 
 6087 , 14414 
 11771 , 14409 
 3966 , 14392 
 3625 , 14381 
 13088 , 14372 
 14099 , 14353 
 13748 , 14343 
 4116 , 14340 
 12472 , 14334 
 11052 , 14330 
 11882 , 14328 
 11772 , 14313 
 13275 , 14307 
 4269 , 14301 
 5883 , 14292 
 11211 , 14290 
 14364 , 14285 
 12056 , 14277 
 12997 , 14264 
 13839 , 14263 
 5042 , 14260 
 3897 , 14260 
 5097 , 14257 
 5262 , 14242 
 11472 , 14239 
 4608 , 14230 
 4303 , 14220 
 13741 , 14217 
 3820 , 14209 
 4532 , 14205 
 5857 , 14193 
 5305 , 14188 
 11437 , 14184 
 11626 , 14176 
 5766 , 14166 
 6132 , 14160 
 6290 , 14154 
 12461 , 14142 
 11384 , 14136 
 12062 , 14135 
 5887 , 14132 
 5068 , 14103 
 14012 , 14100 
 4048 , 14083 
 4855 , 14082 
 4426 , 14058 
 5569 , 14052 
 6074 , 14019 
 11859 , 14018 
 5243 , 14017 
 11751 , 14016 
 12297 , 14009 
 4603 , 14006 
 11385 , 13994 
 4859 , 13967 
 13036 , 13955 
 3612 , 13955 
 11289 , 13933 
 13543 , 13929 
 4398 , 13926 
 14357 , 13920 
 4009 , 13915 
 4573 , 13889 
 6097 , 13886 
 5361 , 13881 
 5136 , 13876 
 6125 , 13876 
 11459 , 13873 
 4681 , 13857 
 11710 , 13850 
 3959 , 13832 
 6134 , 13802 
 4575 , 13802 
 4907 , 13776 
 4844 , 13769 
 11616 , 13764 
 11486 , 13761 
 12108 , 13756 
 6213 , 13687 
 12507 , 13681 
 4197 , 13680 
 11767 , 13646 
 11528 , 13621 
 4955 , 13617 
 4100 , 13610 
 12377 , 13608 
 4535 , 13608 
 11859 , 13597 
 5303 , 13596 
 6280 , 13596 
 5636 , 13584 
 5649 , 13578 
 5193 , 13577 
 5638 , 13571 
 12727 , 13554 
 4893 , 13546 
 5512 , 13546 
 12565 , 13546 
 5803 , 13543 
 5823 , 13535 
 4638 , 13508 
 12133 , 13503 
 6018 , 13496 
 13252 , 13478 
 4537 , 13444 
 5008 , 13441 
 11649 , 13438 
 12248 , 13434 
 5435 , 13415 
 8489 , 13399 
 12096 , 13397 
 3840 , 13389 
 11822 , 13388 
 13571 , 13377 
 5349 , 13371 
 4508 , 13361 
 13423 , 13361 
 13638 , 13357 
 11892 , 13350 
 8474 , 13349 
 4382 , 13334 
 11804 , 13314 
 12534 , 13311 
 5519 , 13291 
 13351 , 13286 
 12038 , 13262 
 8789 , 13258 
 5451 , 13253 
 5820 , 13228 
 4985 , 13217 
 13976 , 13206 
 4671 , 13202 
 4591 , 13198 
 12642 , 13175 
 12103 , 13162 
 4185 , 13159 
 13301 , 13153 
 8509 , 13149 
 12037 , 13143 
 4831 , 13137 
 5760 , 13137 
 12566 , 13131 
 11867 , 13113 
 5925 , 13112 
 8312 , 13102 
 5590 , 13097 
 4150 , 13083 
 13670 , 13082 
 12630 , 13055 
 8979 , 13051 
 6171 , 13010 
 5552 , 12989 
 6032 , 12983 
 5119 , 12972 
 4172 , 12971 
 4114 , 12962 
 12052 , 12956 
 12805 , 12951 
 5297 , 12945 
 5523 , 12945 
 11933 , 12910 
 12851 , 12893 
 5143 , 12887 
 12835 , 12861 
 4390 , 12861 
 8984 , 12852 
 5775 , 12820 
 12240 , 12798 
 12280 , 12790 
 8197 , 12789 
 8566 , 12779 
 8919 , 12761 
 8596 , 12759 
 12600 , 12759 
 12586 , 12751 
 6176 , 12746 
 7352 , 12743 
 11973 , 12741 
 13187 , 12735 
 4332 , 12732 
 8706 , 12732 
 8369 , 12727 
 11975 , 12720 
 11979 , 12662 
 13221 , 12659 
 5342 , 12641 
 12856 , 12635 
 7673 , 12621 
 12193 , 12614 
 8708 , 12604 
 7946 , 12597 
 7231 , 12592 
 8917 , 12588 
 7686 , 12585 
 12365 , 12563 
 5873 , 12561 
 6588 , 12560 
 5388 , 12551 
 6322 , 12549 
 7521 , 12544 
 6447 , 12542 
 8087 , 12537 
 6120 , 12519 
 7026 , 12519 
 12314 , 12503 
 7687 , 12501 
 8527 , 12498 
 12510 , 12476 
 8854 , 12463 
 12512 , 12452 
 4639 , 12446 
 7038 , 12430 
 13089 , 12419 
 4704 , 12399 
 7839 , 12396 
 13371 , 12368 
 5816 , 12334 
 6682 , 12333 
 12144 , 12324 
 8101 , 12309 
 12647 , 12309 
 13130 , 12294 
 12906 , 12289 
 5696 , 12283 
 8910 , 12253 
 8690 , 12250 
 6353 , 12247 
 6045 , 12245 
 7793 , 12240 
 7117 , 12238 
 6982 , 12229 
 8856 , 12223 
 6933 , 12219 
 8751 , 12218 
 6626 , 12200 
 8352 , 12186 
 7728 , 12164 
 12373 , 12163 
 6857 , 12134 
 8525 , 12128 
 12944 , 12115 
 8098 , 12112 
 6096 , 12111 
 5044 , 12110 
 6401 , 12099 
 5057 , 12097 
 6497 , 12087 
 6646 , 12083 
 7268 , 12081 
 12271 , 12047 
 13178 , 12043 
 5661 , 12008 
 5660 , 11996 
 6830 , 11982 
 5686 , 11978 
 8441 , 11962 
 7891 , 11945 
 6201 , 11931 
 5888 , 11919 
 8939 , 11916 
 8254 , 11914 
 9004 , 11869 
 8982 , 11861 
 7686 , 11848 
 7631 , 11842 
 7595 , 11835 
 8648 , 11828 
 7221 , 11816 
 8118 , 11806 
 8535 , 11800 
 8246 , 11791 
 7844 , 11757 
 6496 , 11754 
 8683 , 11750 
 8353 , 11734 
 7103 , 11728 
 7008 , 11725 
 8879 , 11698 
 7353 , 11679 
 5708 , 11662 
 6621 , 11648 
 6466 , 11634 
 8697 , 11618 
 9116 , 11603 
 9062 , 11598 
 6705 , 11570 
 9003 , 11563 
 8612 , 11551 
 8798 , 11540 
 5524 , 11527 
 8312 , 11506 
 7517 , 11501 
 7683 , 11495 
 8241 , 11493 
 8018 , 11486 
 7674 , 11463 
 6365 , 11461 
 9043 , 11454 
 8915 , 11425 
 6882 , 11422 
 8762 , 11399 
 9057 , 11394 
 7921 , 11386 
 9119 , 11385 
 8925 , 11372 
 5901 , 11371 
 5454 , 11355 
 7555 , 11347 
 8811 , 11335 
 8443 , 11324 
 8689 , 11323 
 8559 , 11280 
 7421 , 11275 
 5999 , 11237 
 7861 , 11235 
 7943 , 11190 
 7499 , 11182 
 8822 , 11178 
 8255 , 11168 
 9125 , 11107 
 8454 , 11105 
 6867 , 11095 
 8218 , 11091 
 6563 , 11089 
 6385 , 11058 
 8770 , 11055 
 5574 , 11050 
 7556 , 11019 
 8129 , 11009 
 6431 , 10990 
 8483 , 10985 
 7203 , 10959 
 6636 , 10952 
 7734 , 10946 
 7815 , 10931 
 7269 , 10915 
 5581 , 10910 
 8567 , 10907 
 6733 , 10883 
 8921 , 10867 
 7968 , 10813 
 8299 , 10802 
 8335 , 10744 
 6447 , 10712 
 8737 , 10707 
 6936 , 10683 
 6032 , 10664 
 7977 , 10659 
 8559 , 10627 
 8433 , 10621 
 7477 , 10620 
 6570 , 10601 
 6358 , 10572 
 8179 , 10537 
 6634 , 10518 
 7673 , 10512 
 7151 , 10466 
 7768 , 10466 
 8427 , 10456 
 5675 , 10405 
 6181 , 10330 
 8757 , 10321 
 7980 , 10285 
 8880 , 10251 
 7644 , 10248 
 8352 , 10247 
 6247 , 10211 
 7314 , 10182 
 6997 , 10152 
 8662 , 10125 
 5471 , 10022 
 8176 , 9958 
 8088 , 9870 
 7855 , 9813 
 6806 , 9711 
 8669 , 9672 
 7718 , 9624 
 7221 , 9610 
 8030 , 9505 
