SPECIES: common name,Alligator (juvenile hatchling)
SPECIES: Latin  name,Alligator mississippiensis
RETINAL CELL TYPE NAME (unpublished),Òalpha-a-like (larger outer-stratified) RGCs
OTHER MOSAICS in same sampling field,n/a
PRIMARY CITATION for these mosaics,"Dr J.E. Cook, unpublished data"
MOSAIC/FIELD-BORDER: published fig(s),n/a
RETINAL LOCATION of sampling field,three adjacent central/ventral areas
NUMBER OF CELLS,59
AREA OF SAMPLED FIELD (sq mm),6.69
TOTAL RETINAL AREA (sq mm),77.1
"UNIT OF X,Y (microns)",0.8333
COMMENTS,this and other similar specimens retained: for mean NND and exclusion radius see Excel listing; further information from j.cook@ucl.ac.uk
X,Y
5307,7446
6117,7425
5526,7403
5887,7295
8457,7127
6355,7121
5267,7065
9048,6980
5162,6915
5724,6875
6675,6825
8732,6770
6328,6769
8996,6725
8331,6704
5222,6560
5945,6525
6656,6507
6354,6505
5407,6308
7012,6295
8695,6293
6106,6291
8377,6231
8044,6203
5072,6179
6691,6098
8354,6029
6470,6025
7201,5930
6183,5917
7907,5899
5523,5738
6824,5682
5893,5663
7414,5624
7989,5615
7214,5485
8225,5465
6427,5408
6931,5341
4862,5321
7238,5212
5587,5151
6680,5133
6106,5104
5302,5075
5112,4924
6694,4753
5345,4738
5935,4729
5008,4551
8294,4525
7081,4487
8017,4319
6460,4276
5202,4194
8318,4102
8081,3862
