"SPECIES: common name","Steller's sculpin"
"SPECIES: Latin  name","Myoxocephalus stelleri, Cottidae"
"RETINAL CELL TYPE NAME: as published","biplexiform RGC"
"OTHER MOSAICS in same sampling field","n/a"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","left eye, DN region"
"NUMBER OF CELLS",48
"AREA OF SAMPLED FIELD (sq mm)",9.73
"TOTAL RETINAL AREA (sq mm)",79.5
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 Col 2"
"X","Y"
 3542 , 14264 
 4969 , 14141 
 5379 , 13602 
 4197 , 13587 
 4752 , 13516 
 3636 , 13264 
 4193 , 13086 
 4960 , 12901 
 4475 , 12887 
 3735 , 11683 
 3804 , 11261 
 3297 , 11157 
 3672 , 10985 
 3968 , 10689 
 2901 , 10632 
 5990 , 10391 
 3179 , 10077 
 3714 , 9812 
 2766 , 9790 
 5656 , 9722 
 6863 , 9619 
 5953 , 9569 
 6374 , 9568 
 5042 , 9298 
 5808 , 9287 
 5296 , 9143 
 5666 , 8983 
 6195 , 8917 
 5440 , 8536 
 8293 , 8152 
 6267 , 8062 
 5790 , 8022 
 8151 , 7716 
 6365 , 7598 
 5715 , 7592 
 7668 , 7578 
 6996 , 7550 
 8812 , 7446 
 8239 , 7133 
 6823 , 7097 
 6474 , 6988 
 8578 , 6699 
 6362 , 6592 
 7177 , 6516 
 7763 , 6128 
 8050 , 5425 
 8515 , 5112 
 7679 , 5083 
