"SPECIES: common name","Six-lined prickleback"
"SPECIES: Latin  name","Ernogrammus hexagrammus, Stichaeidae"
"RETINAL CELL TYPE NAME: as published","alpha-a RGC"
"OTHER MOSAICS in same sampling field","biplexiform cells"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","right eye, DT region"
"NUMBER OF CELLS",22
"AREA OF SAMPLED FIELD (sq mm)",2.98
"TOTAL RETINAL AREA (sq mm)",45.3
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1, Col 3; for auto/crosscorrelogram data with biplexiforms, see spreadsheet"
"X","Y"
 8234 , 9443 
 7783 , 9309 
 8043 , 9223 
 8149 , 8997 
 8020 , 8704 
 8095 , 8480 
 8511 , 8102 
 8138 , 7673 
 8924 , 7448 
 7912 , 6858 
 7607 , 6855 
 8766 , 6826 
 8236 , 6651 
 7981 , 6634 
 7973 , 6407 
 8239 , 6389 
 8519 , 6211 
 7434 , 6186 
 8165 , 6167 
 7710 , 5976 
 8087 , 5962 
 8457 , 5928 
