"SPECIES: common name","White-spotted greenling"
"SPECIES: Latin  name","Hexagrammos stelleri, Hexagrammidae"
"RETINAL CELL TYPE NAME: as published","alpha-b"
"OTHER MOSAICS in same sampling field","biplexiform, alpha-a, alpha-c"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 4A, area marked AC"
"RETINAL LOCATION of sampling field","area centralis, right eye"
"NUMBER OF CELLS",25
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)",96.9
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","from same retina as BP and alpha-a cells but not discussed; see autocorrelogram data in spreadsheet"
"X","Y"
 3982 , 6995 
 4080 , 6980 
 3612 , 6933 
 3488 , 6925 
 3961 , 6897 
 3722 , 6885 
 3844 , 6862 
 3586 , 6825 
 4012 , 6802 
 3504 , 6739 
 3739 , 6729 
 4004 , 6710 
 3601 , 6692 
 3875 , 6679 
 3788 , 6615 
 3940 , 6599 
 3683 , 6547 
 4054 , 6527 
 3818 , 6499 
 4170 , 6462 
 3920 , 6450 
 3759 , 6415 
 4072 , 6367 
 3908 , 6338 
 3866 , 6234 
