"SPECIES: common name","Zebrafish"
"SPECIES: Latin  name","Danio rerio"
"RETINAL CELL TYPE NAME (unpublished)","alpha-a RGC"
"OTHER MOSAICS in same sampling field","not identified"
"PRIMARY CITATION for these mosaics","unpublished student project work, confirmed by Dr J.E. Cook"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","dorsal/central"
"NUMBER OF CELLS",64
"AREA OF SAMPLED FIELD (sq mm)",1.23
"TOTAL RETINAL AREA (sq mm)",3.08
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","this and similar specimens retained: for mean NND and exclusion radius see Excel listing; further information from j.cook@ucl.ac.uk"
"X","Y"
 1658 , 4135 
 1876 , 4124 
 945 , 4118 
 1359 , 4116 
 1117 , 4057 
 1622 , 4049 
 1808 , 4026 
 985 , 4011 
 1251 , 4010 
 2004 , 3995 
 1115 , 3960 
 1782 , 3927 
 1917 , 3922 
 934 , 3920 
 1654 , 3880 
 1433 , 3865 
 2104 , 3864 
 1160 , 3860 
 1004 , 3836 
 889 , 3831 
 2253 , 3822 
 810 , 3809 
 1254 , 3804 
 1854 , 3786 
 1082 , 3781 
 2004 , 3781 
 1722 , 3774 
 1538 , 3773 
 2177 , 3742 
 1965 , 3705 
 948 , 3698 
 1639 , 3693 
 762 , 3692 
 675 , 3692 
 840 , 3679 
 1140 , 3672 
 1317 , 3670 
 512 , 3662 
 1801 , 3658 
 2112 , 3647 
 1588 , 3608 
 649 , 3603 
 1983 , 3599 
 2311 , 3574 
 1131 , 3567 
 984 , 3562 
 1876 , 3551 
 1485 , 3508 
 863 , 3498 
 1100 , 3427 
 1126 , 3301 
 665 , 3193 
 952 , 3172 
 1082 , 3171 
 746 , 3109 
 557 , 3109 
 578 , 3020 
 993 , 3013 
 477 , 2973 
 694 , 2877 
 537 , 2753 
 817 , 2747 
 664 , 2708 
 812 , 2538 
